linea,cabecera,direction_id,nodo_cabecera,nodo_destino,km_linea,viajes_apertura,error_km_elegido,error_km_otro
A,A,1,LineaA:1059,LineaA:1076,9.77,880,0.01703,0.1749
A,D,0,LineaA:1076,LineaA:1059,9.77,836,0.01691,0.1372
B,A,1,LineaB:1077,LineaB:1093,11.85,710,0.02812,0.2763
B,D,0,LineaB:1093,LineaB:1077,11.85,712,0.02159,0.2531
C,A,1,LineaC:1094,LineaC:1102,4.28,441,0.05846,0.09855
C,D,0,LineaC:1102,LineaC:1094,4.28,185,0.06561,0.1764
D,A,1,LineaD:1103,LineaD:1118,10.46,860,0.04328,0.1059
D,D,0,LineaD:1118,LineaD:1103,10.46,752,0.02414,0.2716
E,A,0,LineaE:1164,LineaE:1133,11.83,654,0.04388,0.1129
E,D,1,LineaE:1133,LineaE:1164,11.83,839,0.02896,0.1294
H,A,0,LineaH:1163,LineaH:1134,8.11,624,0.0738,0.1459
H,D,1,LineaH:1134,LineaH:1163,8.11,440,0.04625,0.1393
