comp_origen,comp_destino,tiempo_s,costo_s,n_transbordos,nodo_ascenso,linea_ascenso,nodo_descenso,linea_descenso,n_estaciones,camino
LineaA:1059,LineaA:1060,81.0,81.0,0,LineaA:1059,LineaA,LineaA:1060,LineaA,2,LineaA:1059 LineaA:1060
LineaA:1059,LineaA:1061,197.0,197.0,0,LineaA:1059,LineaA,LineaA:1061,LineaA,3,LineaA:1059 LineaA:1060 LineaA:1061
LineaA:1059,LineaA:1062,310.0,310.0,0,LineaA:1059,LineaA,LineaA:1062,LineaA,4,LineaA:1059 LineaA:1060 LineaA:1061 LineaA:1062
LineaA:1059,LineaA:1063,426.0,426.0,0,LineaA:1059,LineaA,LineaA:1063,LineaA,5,LineaA:1059 LineaA:1060 LineaA:1061 LineaA:1062 LineaA:1063
LineaA:1059,LineaA:1064,519.0,519.0,0,LineaA:1059,LineaA,LineaA:1064,LineaA,6,LineaA:1059 LineaA:1060 LineaA:1061 LineaA:1062 LineaA:1063 LineaA:1064
LineaA:1059,LineaA:1065,626.0,626.0,0,LineaA:1059,LineaA,LineaA:1065,LineaA,7,LineaA:1059 LineaA:1060 LineaA:1061 LineaA:1062 LineaA:1063 LineaA:1064 LineaA:1065
LineaA:1059,LineaA:1066,746.0,746.0,0,LineaA:1059,LineaA,LineaA:1066,LineaA,8,LineaA:1059 LineaA:1060 LineaA:1061 LineaA:1062 LineaA:1063 LineaA:1064 LineaA:1065 LineaA:1066
LineaA:1059,LineaA:1067,845.0,845.0,0,LineaA:1059,LineaA,LineaA:1067,LineaA,9,LineaA:1059 LineaA:1060 LineaA:1061 LineaA:1062 LineaA:1063 LineaA:1064 LineaA:1065 LineaA:1066 LineaA:1067
LineaA:1059,LineaA:1069,1286.0,1286.0,0,LineaA:1059,LineaA,LineaA:1069,LineaA,13,LineaA:1059 LineaA:1060 LineaA:1061 LineaA:1062 LineaA:1063 LineaA:1064 LineaA:1065 LineaA:1066 LineaA:1067 LineaA:1068 LineaA:1070 LineaA:1071 LineaA:1069
LineaA:1059,LineaA:1070,1085.0,1085.0,0,LineaA:1059,LineaA,LineaA:1070,LineaA,11,LineaA:1059 LineaA:1060 LineaA:1061 LineaA:1062 LineaA:1063 LineaA:1064 LineaA:1065 LineaA:1066 LineaA:1067 LineaA:1068 LineaA:1070
LineaA:1059,LineaA:1071,1172.0,1172.0,0,LineaA:1059,LineaA,LineaA:1071,LineaA,12,LineaA:1059 LineaA:1060 LineaA:1061 LineaA:1062 LineaA:1063 LineaA:1064 LineaA:1065 LineaA:1066 LineaA:1067 LineaA:1068 LineaA:1070 LineaA:1071
LineaA:1059,LineaA:1072,1264.0,1264.0,0,LineaA:1059,LineaA,LineaA:1072,LineaA,13,LineaA:1059 LineaA:1060 LineaA:1061 LineaA:1062 LineaA:1063 LineaA:1064 LineaA:1065 LineaA:1066 LineaA:1067 LineaA:1068 LineaA:1070 LineaA:1071 LineaA:1072
LineaA:1059,LineaA:1074,1403.0,1403.0,0,LineaA:1059,LineaA,LineaA:1074,LineaA,15,LineaA:1059 LineaA:1060 LineaA:1061 LineaA:1062 LineaA:1063 LineaA:1064 LineaA:1065 LineaA:1066 LineaA:1067 LineaA:1068 LineaA:1070 LineaA:1071 LineaA:1072 LineaA:1073 LineaA:1074
LineaA:1059,LineaA:1076,1529.0,1529.0,0,LineaA:1059,LineaA,LineaA:1076,LineaA,17,LineaA:1059 LineaA:1060 LineaA:1061 LineaA:1062 LineaA:1063 LineaA:1064 LineaA:1065 LineaA:1066 LineaA:1067 LineaA:1068 LineaA:1070 LineaA:1071 LineaA:1072 LineaA:1073 LineaA:1074 LineaA:1075 LineaA:1076
LineaA:1059,LineaB:1077,2434.0,2674.0,2,LineaA:1059,LineaA,LineaB:1077,LineaB,23,LineaA:1059 LineaA:1060 LineaA:1061 LineaA:1062 LineaA:1063 LineaA:1064 LineaA:1065 LineaA:1066 LineaA:1067 LineaA:1068 LineaH:1140 LineaH:1141 LineaB:1087 LineaB:1086 LineaB:1085 LineaB:1083 LineaB:1084 LineaB:1082 LineaB:1081 LineaB:1080 LineaB:1079 LineaB:1078 LineaB:1077
LineaA:1059,LineaB:1078,2337.0,2577.0,2,LineaA:1059,LineaA,LineaB:1078,LineaB,22,LineaA:1059 LineaA:1060 LineaA:1061 LineaA:1062 LineaA:1063 LineaA:1064 LineaA:1065 LineaA:1066 LineaA:1067 LineaA:1068 LineaH:1140 LineaH:1141 LineaB:1087 LineaB:1086 LineaB:1085 LineaB:1083 LineaB:1084 LineaB:1082 LineaB:1081 LineaB:1080 LineaB:1079 LineaB:1078
LineaA:1059,LineaB:1079,2222.0,2462.0,2,LineaA:1059,LineaA,LineaB:1079,LineaB,21,LineaA:1059 LineaA:1060 LineaA:1061 LineaA:1062 LineaA:1063 LineaA:1064 LineaA:1065 LineaA:1066 LineaA:1067 LineaA:1068 LineaH:1140 LineaH:1141 LineaB:1087 LineaB:1086 LineaB:1085 LineaB:1083 LineaB:1084 LineaB:1082 LineaB:1081 LineaB:1080 LineaB:1079
LineaA:1059,LineaB:1080,2123.0,2363.0,2,LineaA:1059,LineaA,LineaB:1080,LineaB,20,LineaA:1059 LineaA:1060 LineaA:1061 LineaA:1062 LineaA:1063 LineaA:1064 LineaA:1065 LineaA:1066 LineaA:1067 LineaA:1068 LineaH:1140 LineaH:1141 LineaB:1087 LineaB:1086 LineaB:1085 LineaB:1083 LineaB:1084 LineaB:1082 LineaB:1081 LineaB:1080
LineaA:1059,LineaB:1081,1982.0,2222.0,2,LineaA:1059,LineaA,LineaB:1081,LineaB,19,LineaA:1059 LineaA:1060 LineaA:1061 LineaA:1062 LineaA:1063 LineaA:1064 LineaA:1065 LineaA:1066 LineaA:1067 LineaA:1068 LineaH:1140 LineaH:1141 LineaB:1087 LineaB:1086 LineaB:1085 LineaB:1083 LineaB:1084 LineaB:1082 LineaB:1081
LineaA:1059,LineaB:1082,1879.0,2119.0,2,LineaA:1059,LineaA,LineaB:1082,LineaB,18,LineaA:1059 LineaA:1060 LineaA:1061 LineaA:1062 LineaA:1063 LineaA:1064 LineaA:1065 LineaA:1066 LineaA:1067 LineaA:1068 LineaH:1140 LineaH:1141 LineaB:1087 LineaB:1086 LineaB:1085 LineaB:1083 LineaB:1084 LineaB:1082
LineaA:1059,LineaB:1083,1625.0,1865.0,2,LineaA:1059,LineaA,LineaB:1083,LineaB,16,LineaA:1059 LineaA:1060 LineaA:1061 LineaA:1062 LineaA:1063 LineaA:1064 LineaA:1065 LineaA:1066 LineaA:1067 LineaA:1068 LineaH:1140 LineaH:1141 LineaB:1087 LineaB:1086 LineaB:1085 LineaB:1083
LineaA:1059,LineaB:1084,1741.0,1981.0,2,LineaA:1059,LineaA,LineaB:1084,LineaB,17,LineaA:1059 LineaA:1060 LineaA:1061 LineaA:1062 LineaA:1063 LineaA:1064 LineaA:1065 LineaA:1066 LineaA:1067 LineaA:1068 LineaH:1140 LineaH:1141 LineaB:1087 LineaB:1086 LineaB:1085 LineaB:1083 LineaB:1084
