fecha,pax,pico60_pax,pico60_inicio,pico60_share,h08_share,h17_share,pico15_share,tipo_dia,dia_semana,atipico,hueco_datos
2025-01-01,61285,6506,16:45,0.10615974545157869,0.0332544668352778,0.10216202986048789,0.030039977155910908,habil,miercoles,True,False
2025-01-02,466950,45067,17:00,0.0965135453474676,0.09595245743655638,0.0965135453474676,0.02909090909090909,habil,jueves,False,False
2025-01-03,495769,45902,16:45,0.09258747521527162,0.08725434627820618,0.09127638073376916,0.027184031272628986,habil,viernes,False,False
2025-01-04,249488,20688,11:45,0.08292182389533766,0.049064484063361766,0.06724972744180081,0.021604245494773296,sabado,sabado,False,False
2025-01-05,138887,13108,16:15,0.09437888355281632,0.02984440588392002,0.09229085515563011,0.025315544291402363,domingo,domingo,False,False
2025-01-06,527406,51523,17:00,0.09769134215386249,0.09498754280383613,0.09769134215386249,0.028918897395934062,habil,lunes,False,False
2025-01-07,536033,53111,08:15,0.09908158639486749,0.09905733415666573,0.0987961562068007,0.028710918917305463,habil,martes,False,False
2025-01-08,523458,51522,17:00,0.09842623476955172,0.09550527453969564,0.09842623476955172,0.02820665650348261,habil,miercoles,False,False
2025-01-09,535625,51943,08:00,0.09697642940490081,0.09697642940490081,0.09685694282380397,0.028295915985997667,habil,jueves,False,False
2025-01-10,500322,45259,16:45,0.09045974392491235,0.0883091289209749,0.08914658959629998,0.026347032511062875,habil,viernes,False,False
2025-01-11,243771,19711,12:30,0.08085867473981728,0.053792288664361226,0.06412165515996571,0.021996053673324554,sabado,sabado,False,False
2025-01-12,131390,12081,19:00,0.09194763680645407,0.033518532612832025,0.08643732399726006,0.023852652408859122,domingo,domingo,False,False
2025-01-13,495771,48699,17:00,0.09822881935409696,0.0977729637272047,0.09822881935409696,0.02836793600271093,habil,lunes,False,False
2025-01-14,521507,52895,08:00,0.10142720998951117,0.10142720998951117,0.09939272147833107,0.02872636417152598,habil,martes,False,False
2025-01-15,502956,51871,08:15,0.10313228194911682,0.10176039255919007,0.09772624245460836,0.028879265780704474,habil,miercoles,False,False
2025-01-16,480967,49099,08:15,0.1020839267558897,0.1019279909016627,0.09589847120488516,0.029534250790594782,habil,jueves,False,False
2025-01-17,467885,42779,08:15,0.09143058657576114,0.08950703698558407,0.08967588189405516,0.026562082563022966,habil,viernes,False,False
2025-01-18,226215,17698,12:30,0.07823530711933338,0.05370996618261389,0.06607873041133434,0.02094025595119687,sabado,sabado,False,False
2025-01-19,104790,9542,18:30,0.09105830709037122,0.0373508922607119,0.09012310334955626,0.02351369405477622,domingo,domingo,False,False
2025-01-20,498955,49335,17:00,0.09887665220310449,0.09684240061729013,0.09887665220310449,0.029419486727259973,habil,lunes,False,False
2025-01-21,530839,53700,17:15,0.1011606155538685,0.09804856086308655,0.10098918881242712,0.029161384148489466,habil,martes,False,False
2025-01-22,505791,51260,08:15,0.10134620821643722,0.09940864902696964,0.09640543228329487,0.028527593413089598,habil,miercoles,False,False
2025-01-23,476090,47558,08:15,0.09989287739713079,0.09962612111155454,0.09932995862126909,0.02926967590161524,habil,jueves,False,False
2025-01-24,467316,43113,16:45,0.09225663148704517,0.09122306961456488,0.09199770604901181,0.02758518860899263,habil,viernes,False,False
2025-01-25,239757,18534,12:30,0.07730326956042993,0.053324824718360676,0.06719303294585768,0.020866961131478956,sabado,sabado,False,False
2025-01-26,130139,12327,17:00,0.09472179746271295,0.032964753071715626,0.09472179746271295,0.025027086422978507,domingo,domingo,False,False
2025-01-27,484355,48940,08:00,0.10104159139474146,0.10104159139474146,0.1005419578614859,0.030058531449040478,habil,lunes,False,False
2025-01-28,465225,48621,17:00,0.1045107206190553,0.10017948304583804,0.1045107206190553,0.029927454457520555,habil,martes,False,False
2025-01-29,532623,52868,17:00,0.09925970151495524,0.09557229034420218,0.09925970151495524,0.02878959414069614,habil,miercoles,False,False
2025-01-30,522380,51200,08:15,0.09801294077108619,0.09750181859948696,0.09779279451740112,0.028262950342662428,habil,jueves,False,False
2025-01-31,508854,46459,08:15,0.09130123768310754,0.09075294681775126,0.09025771635871979,0.026610776372004544,habil,viernes,False,False
2025-02-01,340138,36670,15:45,0.10780918333147134,0.037205487184613306,0.08528891214742251,0.02838553763472473,sabado,sabado,False,False
2025-02-02,120152,10925,19:00,0.09092649310872894,0.03646214794593515,0.08542512817098342,0.023495239363472933,domingo,domingo,False,False
2025-02-03,492796,50676,08:00,0.10283362689632221,0.10283362689632221,0.0972248151364865,0.030048945202477292,habil,lunes,False,False
2025-02-04,531911,54282,08:00,0.10205090701263933,0.10205090701263933,0.10015585314084499,0.0293846150953825,habil,martes,False,False
2025-02-05,459079,47472,08:15,0.10340703887566192,0.10195848644786627,0.10004160503965548,0.029278185236092262,habil,miercoles,False,False
2025-02-06,599129,56572,17:15,0.09442373846033159,0.09286313965773649,0.09433527671002405,0.028437949089428153,habil,jueves,False,False
2025-02-07,552952,49192,17:00,0.08896251392525933,0.08599299758387709,0.08896251392525933,0.02596066204661526,habil,viernes,False,False
2025-02-08,260372,20297,12:15,0.07795385064446254,0.05217534911588036,0.0685672806599788,0.021415513188822146,sabado,sabado,False,False
2025-02-09,143527,13919,17:30,0.0969782688971413,0.028998028245556584,0.09395444759522599,0.025284441254955513,domingo,domingo,False,False
2025-02-10,519923,53349,08:15,0.1026094248571423,0.10061105202116467,0.09263679429453976,0.028125318556786294,habil,lunes,False,False
2025-02-11,525084,53895,17:15,0.10264072034188816,0.0976186667276093,0.10246360582306831,0.029999009682260363,habil,martes,False,False
2025-02-12,605023,58169,17:00,0.09614345239767744,0.09196179318802757,0.09614345239767744,0.028398920371622238,habil,miercoles,False,False
2025-02-13,607179,58436,08:15,0.09624180019401198,0.09343208510175748,0.09551384352884405,0.027374135139719917,habil,jueves,False,False
2025-02-14,557227,50903,08:00,0.09135056269706959,0.09135056269706959,0.08290696610178616,0.025483330850802278,habil,viernes,False,False
2025-02-15,266452,21168,12:30,0.07944395238166724,0.04880428745139838,0.06867653461036134,0.02130590125050666,sabado,sabado,False,False
2025-02-16,140442,14101,17:15,0.1004044374190057,0.02885176798963273,0.09974224234915481,0.02617450620184845,domingo,domingo,False,False
2025-02-17,566253,54917,17:00,0.0969831506411445,0.09566571832732013,0.0969831506411445,0.028584396020859933,habil,lunes,False,False
2025-02-18,609223,59563,08:15,0.09776879730410704,0.09738470149682464,0.09765882115415865,0.02811285850993807,habil,martes,False,False
2025-02-19,603677,57658,17:00,0.09551134132988337,0.09285429128490898,0.09551134132988337,0.02778969548284927,habil,miercoles,False,False
2025-02-20,611805,58260,08:00,0.09522642018290141,0.09522642018290141,0.0941509140984464,0.027420501630421458,habil,jueves,False,False
2025-02-21,548282,48387,08:30,0.08825203088921395,0.08299743562619236,0.08627494610437694,0.02627480019406072,habil,viernes,False,False
2025-02-22,249400,19915,12:30,0.07985164394546912,0.05178027265437049,0.06801523656776264,0.021780272654370488,sabado,sabado,False,False
2025-02-23,133246,12905,19:45,0.0968509373639734,0.032736442369752185,0.09116971616408748,0.026409798417963766,domingo,domingo,False,False
2025-02-24,561133,56814,08:00,0.10124872356464511,0.10124872356464511,0.09692354575474976,0.028916495732740723,habil,lunes,False,False
2025-02-25,618111,61627,08:15,0.09970215705593331,0.09933976259927424,0.0961671932711115,0.028711671528253015,habil,martes,False,False
2025-02-26,617133,61036,08:00,0.098902505618724,0.098902505618724,0.09793188826395607,0.028836571695242355,habil,miercoles,False,False
2025-02-27,637366,61431,17:00,0.09638261218828742,0.09371852279537973,0.09638261218828742,0.02771562963822984,habil,jueves,False,False
2025-02-28,575434,54876,16:30,0.09536454224116059,0.09142316929482791,0.0902240743508378,0.027115186103010946,habil,viernes,False,False
2025-03-01,278226,21621,16:00,0.07771020681029091,0.043809708654115716,0.07517270132913531,0.020246130843271298,sabado,sabado,False,False
2025-03-02,136688,12701,17:30,0.09291964181200983,0.03262905302586913,0.0899859534121503,0.024654688048694837,domingo,domingo,False,False
2025-03-03,138479,14699,18:15,0.10614605824709884,0.03801298391813921,0.09846980408581807,0.027845377277421125,habil,lunes,True,False
2025-03-04,170588,16363,16:15,0.09592116678781626,0.04200764414847469,0.09111426360588083,0.025746242408610218,habil,martes,True,False
2025-03-05,503665,57964,07:45,0.1150844311198912,0.11255497205483804,0.07682288822927938,0.03202724032839288,habil,miercoles,True,False
2025-03-06,609944,59449,08:00,0.09746632477735662,0.09746632477735662,0.09348071298348701,0.027094290623401494,habil,jueves,False,False
2025-03-07,603659,54771,16:45,0.09073168792314866,0.08718829670393384,0.08925568905623871,0.025627051033779005,habil,viernes,False,False
2025-03-08,316348,28868,15:45,0.09125393553934275,0.03836913778497098,0.08123964747682931,0.024608974926346935,sabado,sabado,False,False
2025-03-09,173575,18197,16:15,0.10483652599740746,0.02689903499927985,0.10151231456142877,0.02689903499927985,domingo,domingo,False,False
2025-03-10,685753,68191,17:00,0.09943959413958087,0.09140463111353504,0.09943959413958087,0.0276323982541819,habil,lunes,False,False
2025-03-11,703400,71046,17:15,0.10100369633210123,0.09212254762581745,0.100992323002559,0.02834802388399204,habil,martes,False,False
2025-03-12,718431,74707,17:00,0.10398632575710123,0.08879906351479822,0.10398632575710123,0.028558066119084506,habil,miercoles,False,False
2025-03-13,720276,71437,17:15,0.09918003654154796,0.09185367831220255,0.09826372112912272,0.027779628920025102,habil,jueves,False,False
2025-03-14,693376,65241,17:00,0.09409180588886838,0.0836703318257338,0.09409180588886838,0.02594840317518922,habil,viernes,False,False
2025-03-15,325601,26670,12:45,0.08191006784377197,0.05090586331123061,0.06859622667006551,0.02169526506368224,sabado,sabado,False,False
2025-03-16,168336,16838,19:00,0.10002613819979089,0.027231251782149985,0.09711529322307766,0.02703521528371828,domingo,domingo,False,False
2025-03-17,679236,70292,17:15,0.10348685876484756,0.09391433905152259,0.10257406851226966,0.02945956928078017,habil,lunes,False,False
2025-03-18,694929,70932,17:15,0.10207085903739807,0.09475356475265818,0.10165355021879934,0.028771284548493443,habil,martes,False,False
2025-03-19,721975,68199,16:30,0.09446171958862841,0.09052113992866789,0.09391876450015582,0.026701755600955713,habil,miercoles,False,False
2025-03-20,769820,78003,17:15,0.10132628406640513,0.09243979112000208,0.09925567015666,0.0279818658907277,habil,jueves,False,False
2025-03-21,712837,66278,17:00,0.09297777752838307,0.08644613004094906,0.09297777752838307,0.025513546575163748,habil,viernes,False,False
2025-03-22,311431,25980,12:45,0.08342136781502163,0.05160051504185518,0.06680131393470785,0.022505787798902485,sabado,sabado,False,False
2025-03-23,151819,15140,16:45,0.0997240134634005,0.02653159354231025,0.09813659686863963,0.025721418267805742,domingo,domingo,False,False
2025-03-24,298621,40864,14:30,0.13684235201141245,0.02413092180389189,0.10581975145753313,0.0358749049798909,habil,lunes,True,False
2025-03-25,776474,80318,17:15,0.1034393939784204,0.09683646844582046,0.10311227420364365,0.028331920965801817,habil,martes,False,False
2025-03-26,778738,78806,17:15,0.10119706499490201,0.09228135778657263,0.10118679196340746,0.027556122855183645,habil,miercoles,False,False
2025-03-27,771637,79302,17:15,0.10277112165435302,0.0856594486785885,0.10143240928052957,0.02899938701747065,habil,jueves,False,False
2025-03-28,707511,66798,17:00,0.09441266637550512,0.08580078613618729,0.09441266637550512,0.026324679050926416,habil,viernes,False,False
2025-03-29,330769,26997,12:45,0.08161889415271685,0.05334840931284371,0.0690240016446523,0.022236062025159552,sabado,sabado,False,False
2025-03-30,159453,15697,16:15,0.09844280132703681,0.031633145817262766,0.09780311439734593,0.02611427818855713,domingo,domingo,False,False
2025-03-31,736887,74879,17:00,0.10161530872440415,0.09513534639639457,0.10161530872440415,0.02822956572717391,habil,lunes,False,False
2025-04-01,802341,81461,17:15,0.1015291503238648,0.09399370093264585,0.09977054643848439,0.02780862501106138,habil,martes,False,False
2025-04-02,217311,20422,16:00,0.09397591470289125,0.04149812940900369,0.08760256038580652,0.02551182406781065,habil,miercoles,True,False
2025-04-03,818558,81752,17:15,0.09987319163700067,0.09289506669044832,0.09948470358850564,0.027974804473232195,habil,jueves,False,False
2025-04-04,764508,71331,17:00,0.09330314398279678,0.08557006597707284,0.09330314398279678,0.025680568417858284,habil,viernes,False,False
2025-04-05,346336,30439,12:45,0.08788863993347501,0.052284486741199294,0.06919292247990391,0.023731289845698975,sabado,sabado,False,False
2025-04-06,197930,20911,17:00,0.10564846157732531,0.02418026575051786,0.10564846157732531,0.0280200070732077,domingo,domingo,False,False
2025-04-07,755134,76045,17:15,0.10070398101529,0.09541220498613491,0.09958762285898927,0.029425241083039566,habil,lunes,False,False
2025-04-08,822744,85280,17:15,0.10365314119580331,0.09392228931478078,0.1024850986455082,0.029079519267232578,habil,martes,False,False
2025-04-09,770421,79302,17:00,0.10293333125654675,0.09068029038668468,0.10293333125654675,0.028597351318305188,habil,miercoles,False,False
2025-04-10,66,9,09:15,0.13636363636363635,0.06060606060606061,0.07575757575757576,0.045454545454545456,habil,jueves,False,True
2025-04-11,753431,75146,17:00,0.09973839674767829,0.09207213401094459,0.09973839674767829,0.027427860016378407,habil,viernes,False,False
2025-04-12,366448,31486,12:30,0.08592214993668952,0.053172619307514296,0.06954874907217395,0.023302078330349738,sabado,sabado,False,False
2025-04-13,206184,22789,18:15,0.11052749000892406,0.026204749156093585,0.10014841112792457,0.029206921972606992,domingo,domingo,False,False
2025-04-14,790875,80472,17:00,0.10175059269796112,0.09458384700489963,0.10175059269796112,0.028439386755176228,habil,lunes,False,False
2025-04-15,824515,84917,17:15,0.10299024274876746,0.09184429634391127,0.1025414940904653,0.029018271347398168,habil,martes,False,False
2025-04-16,820519,82789,17:15,0.10089833385942312,0.09161640376395916,0.0995930624397485,0.028115132007912064,habil,miercoles,False,False
2025-04-17,352614,33401,16:15,0.09472397579222606,0.06549654863391698,0.07970471960841033,0.026465199906980437,habil,jueves,True,False
