nodo_id,linea,nombre,sentido,pax,pax_estacion,share_entre_sentidos,cobertura_estacion
LineaA:1064,LineaA,Acoyte,N,2494208,3104096,0.8153,0.9855
LineaA:1064,LineaA,Acoyte,S,564889,3104096,0.1847,0.9855
LineaA:1061,LineaA,Carabobo,E,1346199,2362676,0.5783,0.9852
LineaA:1061,LineaA,Carabobo,O,981560,2362676,0.4217,0.9852
LineaA:1066,LineaA,Castro Barros,N,1380623,2216467,0.6315,0.9864
LineaA:1066,LineaA,Castro Barros,S,805631,2216467,0.3685,0.9864
LineaA:1071,LineaA,Congreso,N,406113,1993742,0.2072,0.9832
LineaA:1071,LineaA,Congreso,S,1554203,1993742,0.7928,0.9832
LineaA:1073,LineaA,Lima,N,167652,937875,0.1792,0.9973
LineaA:1073,LineaA,Lima,S,767646,937875,0.8208,0.9973
LineaA:1067,LineaA,Loria,N,814610,1291672,0.6433,0.9803
LineaA:1067,LineaA,Loria,S,451641,1291672,0.3567,0.9803
LineaA:1075,LineaA,Peru,N,99582,1924011,0.0529,0.9779
LineaA:1075,LineaA,Peru,S,1781837,1924011,0.9471,0.9779
LineaA:1074,LineaA,Piedras,N,74060,1427533,0.053,0.979
LineaA:1074,LineaA,Piedras,S,1323515,1427533,0.947,0.979
LineaA:1068,LineaA,Plaza Miserere,NE,364812,2713095,0.3205,0.4196
LineaA:1068,LineaA,Plaza Miserere,S,773603,2713095,0.6795,0.4196
LineaA:1076,LineaA,Plaza de Mayo,E,2273877,3398439,0.6824,0.9805
LineaA:1076,LineaA,Plaza de Mayo,O,1058202,3398439,0.3176,0.9805
LineaA:1063,LineaA,Primera Junta,N,1136765,2775442,0.4164,0.9836
LineaA:1063,LineaA,Primera Junta,S,1593136,2775442,0.5836,0.9836
LineaA:1062,LineaA,Puan,E,907351,1521603,0.6047,0.9861
LineaA:1062,LineaA,Puan,O,593071,1521603,0.3953,0.9861
LineaA:1065,LineaA,Rio de Janeiro,N,1246187,1737717,0.7328,0.9786
LineaA:1065,LineaA,Rio de Janeiro,S,454393,1737717,0.2672,0.9786
LineaA:1072,LineaA,Saenz Peña,N,417639,1953644,0.2176,0.9826
LineaA:1072,LineaA,Saenz Peña,S,1501968,1953644,0.7824,0.9826
LineaA:1060,LineaA,San Jose de Flores,E,1542299,2684674,0.5827,0.9859
LineaA:1060,LineaA,San Jose de Flores,O,1104585,2684674,0.4173,0.9859
LineaA:1059,LineaA,San Pedrito,E,3444149,6260126,0.5557,0.99
LineaA:1059,LineaA,San Pedrito,O,2753336,6260126,0.4443,0.99
LineaB:1089,LineaB,Callao,N,669392,3537275,0.1914,0.9889
LineaB:1089,LineaB,Callao,S,2828748,3537275,0.8086,0.9889
LineaB:1086,LineaB,Carlos Gardel,N,1187751,2295242,0.5286,0.9789
LineaB:1086,LineaB,Carlos Gardel,S,1059045,2295242,0.4714,0.9789
LineaB:1091,LineaB,Carlos Pellegrini,E,2853626,3902937,0.7395,0.9887
LineaB:1091,LineaB,Carlos Pellegrini,O,1005312,3902937,0.2605,0.9887
LineaB:1082,LineaB,Dorrego,N,2211293,2528992,0.8848,0.9882
LineaB:1082,LineaB,Dorrego,S,287829,2528992,0.1152,0.9882
LineaB:1078,LineaB,Echeverria,E,535272,1345063,0.4045,0.9837
LineaB:1078,LineaB,Echeverria,O,787907,1345063,0.5955,0.9837
LineaB:1081,LineaB,Federico Lacroze,E,1302890,5132160,0.2558,0.9926
LineaB:1081,LineaB,Federico Lacroze,O,3541848,5132160,0.6953,0.9926
LineaB:1081,LineaB,Federico Lacroze,S,249296,5132160,0.0489,0.9926
LineaB:1092,LineaB,Florida,E,591319,2508797,0.2407,0.9791
LineaB:1092,LineaB,Florida,O,1865024,2508797,0.7593,0.9791
LineaB:1077,LineaB,Juan Manuel de Rosas,E,1964967,5791079,0.3443,0.9855
LineaB:1077,LineaB,Juan Manuel de Rosas,O,3742121,5791079,0.6557,0.9855
LineaB:1093,LineaB,Leandro N. Alem,N,991944,3541632,0.2842,0.9854
LineaB:1093,LineaB,Leandro N. Alem,S,2498042,3541632,0.7158,0.9854
LineaB:1084,LineaB,Malabia,N,2449489,3046991,0.8155,0.9858
LineaB:1084,LineaB,Malabia,S,554123,3046991,0.1845,0.9858
LineaB:1085,LineaB,Medrano,N,2014652,3178225,0.6427,0.9862
LineaB:1085,LineaB,Medrano,S,1119821,3178225,0.3573,0.9862
LineaB:1088,LineaB,Pasteur,N,627659,2378774,0.2675,0.9863
LineaB:1088,LineaB,Pasteur,S,1718572,2378774,0.7325,0.9863
LineaB:1087,LineaB,Pueyrredon,N,667994,1681932,0.3977,0.9986
LineaB:1087,LineaB,Pueyrredon,S,1011613,1681932,0.6023,0.9986
LineaB:1090,LineaB,Uruguay,N,281679,1705784,0.1687,0.9787
LineaB:1090,LineaB,Uruguay,S,1387719,1705784,0.8313,0.9787
LineaB:1083,LineaB,angel Gallardo,N,2170091,2876383,0.7651,0.9861
LineaB:1083,LineaB,angel Gallardo,S,666423,2876383,0.2349,0.9861
LineaC:1098,LineaC,Avenida de Mayo,N,353865,787109,0.4551,0.9879
LineaC:1098,LineaC,Avenida de Mayo,S,423693,787109,0.5449,0.9879
LineaC:1099,LineaC,Diagonal Norte,N,423415,1072768,0.4001,0.9864
LineaC:1099,LineaC,Diagonal Norte,S,634726,1072768,0.5999,0.9864
LineaC:1101,LineaC,General San Martin,N,959844,1022306,0.9507,0.9876
LineaC:1101,LineaC,General San Martin,S,49758,1022306,0.0493,0.9876
