fecha,tipo_dia,dia_semana,mes,pax_dia,estaciones_con_dato,LineaA,LineaB,LineaC,LineaD,LineaE,LineaH,mediana_mes,razon,hueco_datos,atipico
2025-01-01,habil,miercoles,1,61285,88,11125,15737,10770,10133,6911,6609,500322.0,0.122,False,True
2025-01-02,habil,jueves,1,466950,88,97983,118615,73790,82361,44772,49429,500322.0,0.933,False,False
2025-01-03,habil,viernes,1,495769,88,104963,129072,78703,85259,45860,51912,500322.0,0.991,False,False
2025-01-04,sabado,sabado,1,249488,88,53934,65392,38589,42212,21143,28218,500322.0,0.499,False,False
2025-01-05,domingo,domingo,1,138887,88,24609,35295,23399,25987,14752,14845,500322.0,0.278,False,False
2025-01-06,habil,lunes,1,527406,88,109880,133569,89275,92187,49232,53263,500322.0,1.054,False,False
2025-01-07,habil,martes,1,536033,86,111979,132155,89643,98651,49613,53992,500322.0,1.071,False,False
2025-01-08,habil,miercoles,1,523458,86,111647,128346,84510,95600,51610,51745,500322.0,1.046,False,False
2025-01-09,habil,jueves,1,535625,86,113161,128794,88858,100748,52550,51514,500322.0,1.071,False,False
2025-01-10,habil,viernes,1,500322,86,106035,120155,86444,90505,47922,49261,500322.0,1.0,False,False
2025-01-11,sabado,sabado,1,243771,86,52743,61691,38197,43982,20957,26201,500322.0,0.487,False,False
2025-01-12,domingo,domingo,1,131390,86,23615,33353,20930,25748,14453,13291,500322.0,0.263,False,False
2025-01-13,habil,lunes,1,495771,86,105008,119775,82495,90352,48737,49404,500322.0,0.991,False,False
2025-01-14,habil,martes,1,521507,86,109148,125003,87664,96133,51375,52184,500322.0,1.042,False,False
2025-01-15,habil,miercoles,1,502956,86,106395,120735,84579,92388,49575,49284,500322.0,1.005,False,False
2025-01-16,habil,jueves,1,480967,86,99915,113497,82413,89702,48026,47414,500322.0,0.961,False,False
2025-01-17,habil,viernes,1,467885,86,98909,112070,80422,84633,45081,46770,500322.0,0.935,False,False
2025-01-18,sabado,sabado,1,226215,86,47305,59475,34947,40375,19505,24608,500322.0,0.452,False,False
2025-01-19,domingo,domingo,1,104790,86,18238,28548,17609,19597,10384,10414,500322.0,0.209,False,False
2025-01-20,habil,lunes,1,498955,86,105799,119897,83333,91055,48646,50225,500322.0,0.997,False,False
2025-01-21,habil,martes,1,530839,86,109050,126657,90809,99507,52337,52479,500322.0,1.061,False,False
2025-01-22,habil,miercoles,1,505791,86,105107,120081,85394,93892,50855,50462,500322.0,1.011,False,False
2025-01-23,habil,jueves,1,476090,86,97461,110683,84168,89907,47506,46365,500322.0,0.952,False,False
2025-01-24,habil,viernes,1,467316,86,97708,111517,82955,84359,45243,45534,500322.0,0.934,False,False
2025-01-25,sabado,sabado,1,239757,86,48269,59536,39434,45897,20760,25861,500322.0,0.479,False,False
2025-01-26,domingo,domingo,1,130139,86,22532,31676,21776,27290,13246,13619,500322.0,0.26,False,False
2025-01-27,habil,lunes,1,484355,86,99819,115530,84619,88691,47939,47757,500322.0,0.968,False,False
2025-01-28,habil,martes,1,465225,86,100399,113561,59063,94771,49970,47461,500322.0,0.93,False,False
2025-01-29,habil,miercoles,1,532623,86,108360,125668,92863,100710,52919,52103,500322.0,1.065,False,False
2025-01-30,habil,jueves,1,522380,86,106374,124358,88582,98833,52825,51408,500322.0,1.044,False,False
2025-01-31,habil,viernes,1,508854,86,106971,120887,86117,94615,49255,51009,500322.0,1.017,False,False
2025-02-01,sabado,sabado,2,340138,86,78845,85712,52884,64542,30833,27322,570843.5,0.596,False,False
2025-02-02,domingo,domingo,2,120152,86,21402,29731,19826,23359,13162,12672,570843.5,0.21,False,False
2025-02-03,habil,lunes,2,492796,86,102125,114428,83276,94452,49263,49252,570843.5,0.863,False,False
2025-02-04,habil,martes,2,531911,86,109677,125158,85787,105337,52993,52959,570843.5,0.932,False,False
2025-02-05,habil,miercoles,2,459079,87,91327,110168,74501,90462,48407,44214,570843.5,0.804,False,False
2025-02-06,habil,jueves,2,599129,86,123987,144042,95634,117008,58300,60158,570843.5,1.05,False,False
2025-02-07,habil,viernes,2,552952,86,115584,132388,92653,106186,51049,55092,570843.5,0.969,False,False
2025-02-08,sabado,sabado,2,260372,86,53952,66818,40883,49758,21741,27220,570843.5,0.456,False,False
2025-02-09,domingo,domingo,2,143527,86,24603,37244,22531,30043,15017,14089,570843.5,0.251,False,False
2025-02-10,habil,lunes,2,519923,86,110129,118724,86322,100924,53016,50808,570843.5,0.911,False,False
2025-02-11,habil,martes,2,525084,86,108998,125027,78610,105830,55173,51446,570843.5,0.92,False,False
2025-02-12,habil,miercoles,2,605023,86,125227,144433,95826,119978,59694,59865,570843.5,1.06,False,False
2025-02-13,habil,jueves,2,607179,86,126071,144018,96460,120391,59046,61193,570843.5,1.064,False,False
2025-02-14,habil,viernes,2,557227,86,114254,132143,93342,107587,54403,55498,570843.5,0.976,False,False
2025-02-15,sabado,sabado,2,266452,86,53828,69952,41037,50556,22652,28427,570843.5,0.467,False,False
2025-02-16,domingo,domingo,2,140442,86,24882,36303,20015,30521,13988,14733,570843.5,0.246,False,False
2025-02-17,habil,lunes,2,566253,86,117629,131582,91155,112732,56997,56158,570843.5,0.992,False,False
2025-02-18,habil,martes,2,609223,86,127142,143185,95002,122184,61401,60309,570843.5,1.067,False,False
2025-02-19,habil,miercoles,2,603677,86,126361,142573,92176,122860,59916,59791,570843.5,1.058,False,False
2025-02-20,habil,jueves,2,611805,86,127136,144671,95155,121944,60770,62129,570843.5,1.072,False,False
2025-02-21,habil,viernes,2,548282,87,115667,125595,89503,109413,52774,55330,570843.5,0.96,False,False
2025-02-22,sabado,sabado,2,249400,86,52461,65544,36392,45686,21670,27647,570843.5,0.437,False,False
2025-02-23,domingo,domingo,2,133246,86,23542,34632,19608,27123,13670,14671,570843.5,0.233,False,False
2025-02-24,habil,lunes,2,561133,87,114563,135764,81719,117557,56536,54994,570843.5,0.983,False,False
2025-02-25,habil,martes,2,618111,87,127400,149797,85172,131980,61672,62090,570843.5,1.083,False,False
2025-02-26,habil,miercoles,2,617133,87,128465,149568,84543,133317,60713,60527,570843.5,1.081,False,False
2025-02-27,habil,jueves,2,637366,87,131485,155439,87720,136090,63061,63571,570843.5,1.117,False,False
2025-02-28,habil,viernes,2,575434,87,118126,139122,83127,120682,56305,58072,570843.5,1.008,False,False
2025-03-01,sabado,sabado,3,278226,87,56881,74441,38915,54073,22222,31694,703400.0,0.396,False,False
2025-03-02,domingo,domingo,3,136688,87,21079,38554,21372,28310,12885,14488,703400.0,0.194,False,False
2025-03-03,habil,lunes,3,138479,87,23413,38795,20948,28301,11688,15334,703400.0,0.197,False,True
2025-03-04,habil,martes,3,170588,87,29191,45594,26102,35202,14344,20155,703400.0,0.243,False,True
2025-03-05,habil,miercoles,3,503665,87,121270,91721,81047,115602,34778,59247,703400.0,0.716,False,True
2025-03-06,habil,jueves,3,609944,87,126886,142222,85297,130541,59531,65467,703400.0,0.867,False,False
2025-03-07,habil,viernes,3,603659,87,127221,138838,87069,124185,59636,66710,703400.0,0.858,False,False
2025-03-08,sabado,sabado,3,316348,87,67011,82637,46700,60417,27290,32293,703400.0,0.45,False,False
2025-03-09,domingo,domingo,3,173575,87,29486,44771,25858,38817,16000,18643,703400.0,0.247,False,False
2025-03-10,habil,lunes,3,685753,87,139482,155699,100346,143528,74766,71932,703400.0,0.975,False,False
2025-03-11,habil,martes,3,703400,87,141734,161196,100954,149662,77220,72634,703400.0,1.0,False,False
2025-03-12,habil,miercoles,3,718431,87,135929,164546,105799,151503,82590,78064,703400.0,1.021,False,False
2025-03-13,habil,jueves,3,720276,87,141824,165780,97226,156656,77399,81391,703400.0,1.024,False,False
2025-03-14,habil,viernes,3,693376,87,139479,159905,97307,145850,72955,77880,703400.0,0.986,False,False
2025-03-15,sabado,sabado,3,325601,87,67040,86274,44658,63957,26900,36772,703400.0,0.463,False,False
2025-03-16,domingo,domingo,3,168336,87,27887,46380,25286,34703,15670,18410,703400.0,0.239,False,False
2025-03-17,habil,lunes,3,679236,88,139875,153672,96584,139485,75301,74319,703400.0,0.966,False,False
2025-03-18,habil,martes,3,694929,87,141836,159858,96239,144251,77346,75399,703400.0,0.988,False,False
2025-03-19,habil,miercoles,3,721975,87,133748,164747,101560,156646,83697,81577,703400.0,1.026,False,False
2025-03-20,habil,jueves,3,769820,88,151634,174367,107260,166446,85006,85107,703400.0,1.094,False,False
2025-03-21,habil,viernes,3,712837,87,143303,160101,102118,150088,77436,79791,703400.0,1.013,False,False
2025-03-22,sabado,sabado,3,311431,87,63212,76736,49092,58532,26937,36922,703400.0,0.443,False,False
2025-03-23,domingo,domingo,3,151819,87,23985,40766,23281,32956,14765,16066,703400.0,0.216,False,False
2025-03-24,habil,lunes,3,298621,87,61817,71908,47767,60859,33090,23180,703400.0,0.425,False,True
2025-03-25,habil,martes,3,776474,88,153423,171075,107708,174095,87304,82869,703400.0,1.104,False,False
2025-03-26,habil,miercoles,3,778738,88,152459,175672,110147,172613,86335,81512,703400.0,1.107,False,False
2025-03-27,habil,jueves,3,771637,88,155935,151285,112239,179787,87621,84770,703400.0,1.097,False,False
2025-03-28,habil,viernes,3,707511,88,139660,155662,101592,156128,77059,77410,703400.0,1.006,False,False
2025-03-29,sabado,sabado,3,330769,88,63869,81170,50502,70141,27159,37928,703400.0,0.47,False,False
2025-03-30,domingo,domingo,3,159453,88,25565,38794,24737,36022,14919,19416,703400.0,0.227,False,False
2025-03-31,habil,lunes,3,736887,88,145218,162967,105552,162126,82077,78947,703400.0,1.048,False,False
2025-04-01,habil,martes,4,802341,88,157313,180604,115192,174848,88313,86071,796477.0,1.007,False,False
2025-04-02,habil,miercoles,4,217311,88,39660,52278,32530,48546,19023,25274,796477.0,0.273,False,True
2025-04-03,habil,jueves,4,818558,88,159568,182504,116934,182262,89159,88131,796477.0,1.028,False,False
2025-04-04,habil,viernes,4,764508,88,151306,172138,110921,168335,80928,80880,796477.0,0.96,False,False
2025-04-05,sabado,sabado,4,346336,88,70198,83964,50441,73747,28828,39158,796477.0,0.435,False,False
2025-04-06,domingo,domingo,4,197930,88,32371,49476,28364,46706,18362,22651,796477.0,0.249,False,False
2025-04-07,habil,lunes,4,755134,88,147560,164105,110817,164278,86058,82316,796477.0,0.948,False,False
2025-04-08,habil,martes,4,822744,88,163412,183567,114327,181821,90568,89049,796477.0,1.033,False,False
2025-04-09,habil,miercoles,4,770421,88,149405,173395,108489,170970,85316,82846,796477.0,0.967,False,False
2025-04-10,habil,jueves,4,66,31,14,14,3,10,8,17,796477.0,0.0,True,False
2025-04-11,habil,viernes,4,753431,89,147887,171860,108421,163456,79519,82288,796477.0,0.946,False,False
2025-04-12,sabado,sabado,4,366448,88,75407,92327,53644,75257,29454,40359,796477.0,0.46,False,False
2025-04-13,domingo,domingo,4,206184,89,34495,52013,30653,48855,18389,21779,796477.0,0.259,False,False
2025-04-14,habil,lunes,4,790875,89,158137,173381,115143,172167,86136,85911,796477.0,0.993,False,False
2025-04-15,habil,martes,4,824515,89,165048,178895,119164,182579,90044,88785,796477.0,1.035,False,False
2025-04-16,habil,miercoles,4,820519,89,164621,181609,118507,182598,86608,86576,796477.0,1.03,False,False
2025-04-17,habil,jueves,4,352614,89,70152,85495,57114,73987,27706,38160,796477.0,0.443,False,True
2025-04-18,habil,viernes,4,232255,89,41101,56663,32451,58911,19096,24033,796477.0,0.292,False,True
2025-04-19,sabado,sabado,4,305233,89,64053,73789,45715,63702,23751,34223,796477.0,0.383,False,False
2025-04-20,domingo,domingo,4,175230,90,29046,42392,27715,40800,16452,18825,796477.0,0.22,False,False
2025-04-21,habil,lunes,4,768937,90,150730,170864,113779,164599,82442,86523,796477.0,0.965,False,False
2025-04-22,habil,martes,4,802079,90,155786,183067,112854,175477,84985,89910,796477.0,1.007,False,False
2025-04-23,habil,miercoles,4,811502,90,158187,187371,114656,177620,84178,89490,796477.0,1.019,False,False
