tipo_dia,franja,franja_idx,nodo_id,linea,nombre,pax_medio,pax_desvio,pax_total,n_dias
domingo,00:00,0,LineaA:1064,LineaA,Acoyte,0.67,1.24,35,52
domingo,06:45,27,LineaA:1064,LineaA,Acoyte,0.06,0.3,3,52
domingo,07:00,28,LineaA:1064,LineaA,Acoyte,0.25,1.28,13,52
domingo,07:15,29,LineaA:1064,LineaA,Acoyte,0.25,1.25,13,52
domingo,07:30,30,LineaA:1064,LineaA,Acoyte,0.31,1.55,16,52
domingo,07:45,31,LineaA:1064,LineaA,Acoyte,5.04,2.93,262,52
domingo,08:00,32,LineaA:1064,LineaA,Acoyte,16.6,4.63,863,52
domingo,08:15,33,LineaA:1064,LineaA,Acoyte,15.46,5.07,804,52
domingo,08:30,34,LineaA:1064,LineaA,Acoyte,15.96,3.82,830,52
domingo,08:45,35,LineaA:1064,LineaA,Acoyte,13.58,5.46,706,52
domingo,09:00,36,LineaA:1064,LineaA,Acoyte,15.65,5.39,814,52
domingo,09:15,37,LineaA:1064,LineaA,Acoyte,22.04,5.36,1146,52
domingo,09:30,38,LineaA:1064,LineaA,Acoyte,19.46,7.92,1012,52
domingo,09:45,39,LineaA:1064,LineaA,Acoyte,20.6,7.29,1071,52
domingo,10:00,40,LineaA:1064,LineaA,Acoyte,21.48,8.88,1117,52
domingo,10:15,41,LineaA:1064,LineaA,Acoyte,26.65,8.46,1386,52
domingo,10:30,42,LineaA:1064,LineaA,Acoyte,28.88,8.52,1502,52
domingo,10:45,43,LineaA:1064,LineaA,Acoyte,31.4,9.07,1633,52
domingo,11:00,44,LineaA:1064,LineaA,Acoyte,35.81,10.87,1862,52
domingo,11:15,45,LineaA:1064,LineaA,Acoyte,41.98,13.87,2183,52
domingo,11:30,46,LineaA:1064,LineaA,Acoyte,43.96,13.25,2286,52
domingo,11:45,47,LineaA:1064,LineaA,Acoyte,48.08,12.16,2500,52
domingo,12:00,48,LineaA:1064,LineaA,Acoyte,57.12,14.39,2970,52
domingo,12:15,49,LineaA:1064,LineaA,Acoyte,58.58,13.5,3046,52
domingo,12:30,50,LineaA:1064,LineaA,Acoyte,60.96,12.0,3170,52
domingo,12:45,51,LineaA:1064,LineaA,Acoyte,61.44,16.12,3195,52
domingo,13:00,52,LineaA:1064,LineaA,Acoyte,59.25,14.72,3081,52
domingo,13:15,53,LineaA:1064,LineaA,Acoyte,59.65,18.14,3102,52
domingo,13:30,54,LineaA:1064,LineaA,Acoyte,58.9,14.5,3063,52
domingo,13:45,55,LineaA:1064,LineaA,Acoyte,55.71,14.06,2897,52
domingo,14:00,56,LineaA:1064,LineaA,Acoyte,56.88,15.6,2958,52
domingo,14:15,57,LineaA:1064,LineaA,Acoyte,57.23,16.4,2976,52
domingo,14:30,58,LineaA:1064,LineaA,Acoyte,55.92,15.32,2908,52
domingo,14:45,59,LineaA:1064,LineaA,Acoyte,57.02,16.03,2965,52
domingo,15:00,60,LineaA:1064,LineaA,Acoyte,57.1,17.35,2969,52
domingo,15:15,61,LineaA:1064,LineaA,Acoyte,61.67,18.32,3207,52
domingo,15:30,62,LineaA:1064,LineaA,Acoyte,64.81,19.36,3370,52
domingo,15:45,63,LineaA:1064,LineaA,Acoyte,64.12,19.08,3334,52
domingo,16:00,64,LineaA:1064,LineaA,Acoyte,67.25,18.57,3497,52
domingo,16:15,65,LineaA:1064,LineaA,Acoyte,72.29,20.05,3759,52
domingo,16:30,66,LineaA:1064,LineaA,Acoyte,72.04,19.7,3746,52
domingo,16:45,67,LineaA:1064,LineaA,Acoyte,69.9,17.51,3635,52
domingo,17:00,68,LineaA:1064,LineaA,Acoyte,70.73,16.88,3678,52
domingo,17:15,69,LineaA:1064,LineaA,Acoyte,70.4,23.28,3661,52
domingo,17:30,70,LineaA:1064,LineaA,Acoyte,73.38,22.22,3816,52
domingo,17:45,71,LineaA:1064,LineaA,Acoyte,70.85,22.3,3684,52
domingo,18:00,72,LineaA:1064,LineaA,Acoyte,72.69,18.38,3780,52
domingo,18:15,73,LineaA:1064,LineaA,Acoyte,72.1,22.15,3749,52
domingo,18:30,74,LineaA:1064,LineaA,Acoyte,72.33,24.0,3761,52
domingo,18:45,75,LineaA:1064,LineaA,Acoyte,74.33,19.8,3865,52
domingo,19:00,76,LineaA:1064,LineaA,Acoyte,74.0,19.69,3848,52
domingo,19:15,77,LineaA:1064,LineaA,Acoyte,73.52,19.54,3823,52
domingo,19:30,78,LineaA:1064,LineaA,Acoyte,66.27,16.97,3446,52
