tipo_dia,franja,franja_idx,nodo_id,pax_medio,n_dias
habil,00:00,0,LineaA:1076,0.03,193
habil,00:00,0,LineaB:1077,0.04,193
habil,00:00,0,LineaB:1078,0.01,193
habil,00:00,0,LineaB:1080,0.02,193
habil,00:00,0,LineaB:1081,0.03,193
habil,00:00,0,LineaB:1082,0.05,193
habil,00:00,0,LineaB:1083,0.01,193
habil,00:00,0,LineaB:1085,0.03,193
habil,00:00,0,LineaB:1089,0.05,193
habil,00:00,0,LineaB:1091,0.02,193
habil,00:00,0,LineaB:1093,0.03,193
habil,00:00,0,LineaC:1099,0.02,193
habil,00:00,0,LineaD:1103,20.9,193
habil,00:00,0,LineaD:1107,0.01,193
habil,00:00,0,LineaD:1108,0.02,193
habil,00:00,0,LineaD:1111,0.01,193
habil,00:00,0,LineaD:1113,0.01,193
habil,00:00,0,LineaD:1114,0.01,193
habil,00:00,0,LineaD:1116,0.01,193
habil,00:00,0,LineaD:1117,0.01,193
habil,00:00,0,LineaD:1118,0.01,193
habil,00:00,0,LineaE:1119,0.01,193
habil,00:00,0,LineaE:1129,0.03,193
habil,00:00,0,LineaE:1165,0.01,193
habil,00:00,0,LineaH:1135,0.01,193
habil,00:00,0,LineaH:1136,3.83,193
habil,00:00,0,LineaH:1138,0.02,193
habil,00:00,0,LineaH:1140,0.01,193
habil,00:00,0,LineaH:1141,0.01,193
habil,00:00,0,LineaH:1160,0.02,193
habil,00:00,0,LineaH:1161,0.03,193
habil,00:00,0,LineaH:1163,0.06,193
habil,00:15,1,LineaA:1076,0.01,193
habil,00:15,1,LineaB:1077,0.05,193
habil,00:15,1,LineaB:1081,0.01,193
habil,00:15,1,LineaB:1082,0.04,193
habil,00:15,1,LineaB:1085,0.01,193
habil,00:15,1,LineaB:1086,0.02,193
habil,00:15,1,LineaB:1089,0.04,193
habil,00:15,1,LineaB:1091,0.02,193
habil,00:15,1,LineaB:1093,0.02,193
habil,00:15,1,LineaC:1099,0.01,193
habil,00:15,1,LineaD:1103,10.16,193
habil,00:15,1,LineaD:1108,0.01,193
habil,00:15,1,LineaD:1113,0.02,193
habil,00:15,1,LineaD:1118,0.01,193
habil,00:15,1,LineaE:1129,0.01,193
habil,00:15,1,LineaE:1164,0.01,193
habil,00:15,1,LineaH:1136,2.06,193
habil,00:15,1,LineaH:1161,0.01,193
habil,00:15,1,LineaH:1163,0.08,193
habil,00:30,2,LineaA:1076,0.01,193
habil,00:30,2,LineaB:1077,0.01,193
habil,00:30,2,LineaB:1082,0.02,193
habil,00:30,2,LineaB:1085,0.01,193
habil,00:30,2,LineaB:1087,0.01,193
habil,00:30,2,LineaB:1089,0.05,193
habil,00:30,2,LineaB:1091,0.02,193
habil,00:30,2,LineaD:1103,11.55,193
habil,00:30,2,LineaD:1106,0.01,193
habil,00:30,2,LineaD:1109,0.01,193
habil,00:30,2,LineaD:1111,0.01,193
habil,00:30,2,LineaD:1113,0.01,193
habil,00:30,2,LineaD:1118,0.01,193
habil,00:30,2,LineaE:1129,0.01,193
habil,00:30,2,LineaH:1136,0.56,193
habil,00:30,2,LineaH:1141,0.01,193
habil,00:30,2,LineaH:1161,0.01,193
habil,00:45,3,LineaA:1076,0.01,193
habil,00:45,3,LineaB:1081,0.01,193
habil,00:45,3,LineaB:1085,0.01,193
habil,00:45,3,LineaB:1087,0.01,193
habil,00:45,3,LineaB:1089,0.01,193
habil,00:45,3,LineaB:1093,0.05,193
habil,00:45,3,LineaD:1103,11.49,193
habil,00:45,3,LineaD:1108,0.01,193
habil,00:45,3,LineaD:1116,0.01,193
habil,00:45,3,LineaD:1118,0.01,193
habil,00:45,3,LineaE:1129,0.02,193
habil,00:45,3,LineaH:1136,0.13,193
habil,00:45,3,LineaH:1139,0.01,193
habil,00:45,3,LineaH:1163,0.02,193
habil,01:00,4,LineaA:1076,0.01,193
habil,01:00,4,LineaB:1082,0.01,193
habil,01:00,4,LineaB:1091,0.01,193
habil,01:00,4,LineaC:1099,0.01,193
habil,01:00,4,LineaD:1103,10.51,193
habil,01:00,4,LineaD:1106,0.01,193
habil,01:00,4,LineaD:1108,0.02,193
habil,01:00,4,LineaD:1109,0.01,193
habil,01:00,4,LineaD:1117,0.01,193
habil,01:00,4,LineaD:1118,0.01,193
habil,01:00,4,LineaE:1121,0.01,193
habil,01:00,4,LineaE:1129,0.01,193
habil,01:00,4,LineaH:1136,0.01,193
habil,01:00,4,LineaH:1138,0.01,193
habil,01:00,4,LineaH:1141,0.01,193
habil,01:00,4,LineaH:1160,0.01,193
habil,01:00,4,LineaH:1163,0.02,193
