linea,cabecera,hora,n,familia,aic,ks_d,ks_p,chi2,chi2_gl,chi2_p,media_ajustada,media_obs,cv_obs
A,A,5,567,gamma,6216.07,0.0710839,0.00616717,79.8818,23,3.31815e-08,312.64,312.64,0.187856
A,A,6,1608,lognormal,18294.3,0.0294921,0.11954,71.0373,36,0.000442692,258.765,258.782,0.293208
A,A,7,2101,lognormal,22364.7,0.0448543,0.000412329,112.385,40,8.48165e-09,195.302,195.557,0.282891
A,A,8,2157,gamma,22639.4,0.0173112,0.531904,81.2068,41,0.000185507,187.567,187.567,0.252377
A,A,9,2196,lognormal,23254.8,0.0291414,0.0470563,102.98,41,3.04151e-07,184.982,184.977,0.275586
A,A,10,1916,lognormal,21141.2,0.0254388,0.164597,53.4405,39,0.061591,210.724,210.758,0.307993
A,A,11,1744,lognormal,19106.8,0.0251999,0.214398,62.5596,37,0.00539854,229.548,229.597,0.269791
A,A,12,1734,lognormal,18684.3,0.0447414,0.0018713,133.313,37,8.36293e-13,235.821,235.849,0.237957
A,A,13,1727,lognormal,18704.8,0.0354056,0.0257096,98.9873,37,1.46839e-07,232.773,232.771,0.245607
A,A,14,1959,lognormal,20997.9,0.0418573,0.00202716,114.694,39,2.23027e-09,206.708,206.877,0.272291
A,A,15,2139,lognormal,22401.3,0.0646926,3.16392e-08,233.518,40,3.64619e-29,188.317,188.583,0.273987
A,A,16,2109,lognormal,22252.8,0.0549612,5.60311e-06,141.048,40,3.45558e-13,190.545,190.719,0.273136
A,A,17,2084,lognormal,21958.7,0.0681264,7.45177e-09,192.483,40,7.86791e-22,192.567,192.889,0.279252
A,A,18,2104,lognormal,22009.2,0.0462784,0.000235618,205.615,40,3.82159e-24,191.228,191.465,0.264702
A,A,19,2115,lognormal,22171.2,0.0579974,1.26156e-06,246.869,40,1.30956e-31,192.058,192.352,0.270333
A,A,20,1748,lognormal,19172.8,0.0335808,0.0379281,79.643,37,5.89325e-05,229.835,230.017,0.278801
A,A,21,1307,gamma,15039.8,0.0492436,0.00341073,61.303,33,0.00197573,307.471,307.471,0.249567
A,A,22,1193,gamma,13146.3,0.102415,2.39309e-11,420.491,32,2.80464e-69,332.456,332.456,0.184657
A,A,23,108,weibull,1204.58,0.0955229,0.260893,15.9259,11,0.143903,313.315,313.667,0.204913
A,D,5,559,lognormal,6166.77,0.0945796,8.38143e-05,122.07,23,1.76285e-15,325.722,326.14,0.229706
A,D,6,1361,gamma,15604.6,0.0389632,0.0312446,70.1389,33,0.000173476,302.53,302.53,0.254159
