nivel,nombre,od,molinetes,factor
complejo,San Pedrito,8945.295347169951,24248,2.710698647604901
complejo,San Jose de Flores,23349.02109284025,9042,0.38725392229709543
complejo,Carabobo,8203.967161682094,8325,1.0147529647465203
complejo,Puan,4908.041418624023,4975,1.0136426276114738
complejo,Primera Junta,9906.472116874538,10334,1.0431564211842093
complejo,Acoyte,10693.581436821572,10823,1.0121024526668676
complejo,Rio de Janeiro,7687.729616977741,8018,1.0429607178552278
complejo,Castro Barros,6371.181282827153,6590,1.0343450778527759
complejo,Loria,5749.305100091395,6139,1.0677812175774792
complejo,Alberti,3354.5116443083134,3554,1.0594686728931657
complejo,Pasco,1771.1251273642738,1996,1.1269672419872316
complejo,Congreso,9389.798307547882,9301,0.9905431081010012
complejo,Saenz Peña,5663.37646559925,5668,1.0008163918518986
complejo,Piedras,3981.283343098733,3736,0.9383908850587301
complejo,Plaza de Mayo,14737.483177578746,14331,0.9724184127858982
complejo,Juan Manuel de Rosas,21394.5383849594,22409,1.0474168498888379
complejo,Echeverria,4753.8776191215375,4624,0.9726796460642718
complejo,De Los Incas - Parque Chas,6262.72694371634,6111,0.9757730226656977
complejo,Tronador - Villa Ortuzar,3959.5788868462846,3691,0.9321698356008253
complejo,Federico Lacroze,19837.79213794031,21150,1.0661468702230255
complejo,Dorrego,8385.04039899103,9016,1.0752482481879149
complejo,angel Gallardo,9773.518469956478,10051,1.0283911603478821
complejo,Malabia,12008.694721401085,11889,0.9900326618189591
complejo,Medrano,11150.724846754923,11511,1.0323095725341949
complejo,Carlos Gardel,9411.974176576698,9314,0.9895904754158248
complejo,Pasteur,7763.405699027019,7926,1.020943682099901
complejo,Callao [B],10691.627242171122,10055,0.9404555333111442
complejo,Uruguay,9107.131202788363,8498,0.9331149195915983
complejo,Florida,10879.449106979922,10121,0.930286074274356
complejo,Constitucion,54630.16279144473,66708,1.2210836759660306
complejo,San Juan,3566.043075944177,3817,1.0703740585044328
complejo,Moreno,4219.669189576681,4252,1.0076619301112946
complejo,Avenida de Mayo / Lima,8413.380394601892,8635,1.0263413271483959
complejo,Lavalle,4997.629278783529,4956,0.9916701947140701
complejo,General San Martin,3542.8861857915454,3757,1.060434855363726
complejo,Congreso de Tucuman,22602.30029612643,22850,1.0109590484432252
complejo,Juramento,11008.928214741542,11026,1.001550721825545
complejo,Jose Hernandez,8152.382250784598,8004,0.9817989090525879
complejo,Olleros,7926.299963173142,7787,0.9824256003658262
complejo,Ministro Carranza,8499.604328873407,8942,1.0520489724002517
complejo,Palermo,11870.274278570636,13100,1.1035970772511452
complejo,Plaza Italia,9247.826530611535,9599,1.0379736220425453
complejo,Scalabrini Ortiz,7848.952680309652,7825,0.9969482959975359
complejo,Bulnes,10260.921083527426,10599,1.0329482035501973
complejo,Agüero,6414.308588460969,6786,1.057947229450059
complejo,Facultad de Medicina,14611.96978907343,14418,0.9867252812677948
complejo,Callao [D],10553.339802084314,10161,0.9628231621986789
complejo,Tribunales,9206.520600411306,8596,0.9336860658972478
complejo,9 de Julio / Carlos Pellegrini / Diagonal Norte,12969.996594892833,21201,1.634618779186748
complejo,Bolivar / Catedral / Peru,33964.009166387536,32089,0.9447942332955458
complejo,Belgrano,3421.333422369323,3450,1.008378773446414
complejo,Independencia,11924.746391481305,16385,1.3740334143881643
complejo,San Jose,2528.314172062607,2565,1.0145099957682333
complejo,Entre Rios,2965.5129886315326,3162,1.0662573430370097
complejo,Pichincha,1699.0935728875413,1940,1.1417852618340778
complejo,General Urquiza,2831.223572687693,2837,1.0020402582713817
complejo,Boedo,4044.416051712852,4290,1.0607217321727176
complejo,La Plata,4430.988189061451,4662,1.0521355059146482
complejo,Jose Maria Moreno,3962.3938477543934,3958,0.9988911128163387
complejo,Emilio Mitre,4062.840340759632,4292,1.0564038062095056
complejo,Medalla Milagrosa,1836.7198626756901,1847,1.0055970088488801
complejo,Varela,2151.3907880494025,2078,0.9658868168177184
complejo,Plaza de los Virreyes,8151.702124588454,8723,1.0700832619592793
complejo,Retiro,24041.743876358585,27416,1.1403498906316645
complejo,Catalinas,3875.928701171222,4339,1.1194736370379692
complejo,Correo Central / Leandro N. Alem,19972.65185188327,19233,0.9629667678899871
complejo,Hospitales,12026.584608126412,11955,0.994047802392872
complejo,Parque Patricios,9409.426041347533,8685,0.9230106025421517
complejo,Caseros,5285.958729677573,5220,0.987521898476571
complejo,Inclan,4250.81987210041,4550,1.0703817467927097
complejo,Humberto 1 / Jujuy,6729.2748468335985,7044,1.0467695495175817
complejo,Venezuela,4136.6745844448005,4159,1.0053969474996052
complejo,Once / Plaza Miserere,18471.382292410224,20739,1.1227638338968018
complejo,Corrientes / Pueyrredon,11245.365427203249,11498,1.0224656614702454
complejo,Cordoba,7050.511559828586,7178,1.0180821546195031
complejo,Pueyrredon / Santa Fe,14699.624710142356,14601,0.9932906647559303
complejo,Las Heras,8648.947975852423,8587,0.9928375131836404
complejo,Facultad de Derecho,2112.938414343355,4300,2.035080611346794
linea,LineaA,147002.22648641016,150138,1.021331469519475
linea,LineaB,179791.4394178316,180670,1.0048865540262273
linea,LineaC,94371.11403749567,119205,1.2631513489671986
linea,LineaD,161678.84142245672,166383,1.029095696976524
linea,LineaE,77925.7374628816,79552,1.0208693891141298
linea,LineaH,79798.80755017743,82299,1.0313312006354287
hora,05:00,3681.0,4196,1.1399076337951644
hora,06:00,21829.49633027523,22884,1.048306367392558
hora,07:00,58624.329632721216,61286,1.045402145900073
hora,08:00,69792.58586697104,72493,1.0386919914126138
hora,09:00,53304.94037384471,55842,1.0475952061546656
hora,10:00,36329.99052149036,39095,1.0761081805643204
hora,11:00,36703.990242238135,39707,1.0818169833291331
hora,12:00,44888.496588788956,47866,1.0663311012281638
hora,13:00,47536.436520728195,50442,1.061122871042402
hora,14:00,41581.003334234476,43965,1.057333793670215
hora,15:00,47330.74507516504,49817,1.0525293848826294
hora,16:00,58998.15775669048,61890,1.0490158058025394
hora,17:00,72396.22606723678,75067,1.0368910657066954
hora,18:00,60945.206336362506,63057,1.034650693476732
hora,19:00,34779.25800449647,36328,1.0445306221111244
hora,20:00,25186.646220159153,26178,1.039360293195661
hora,21:00,16709.57231952157,17426,1.0428752853022718
hora,22:00,8787.573677377475,9362,1.0653680234967833
hora,23:00,1162.5115089514068,1346,1.1578379995687966
