tipo,de_nodo,a_nodo,linea,direction_id,orden,t_s,t_detencion_s,km,de_anden,a_anden
tramo,LineaA:1076,LineaA:1075,LineaA,0,1.0,34,24.0,0.28,1076S,1075S
tramo,LineaA:1075,LineaA:1074,LineaA,0,2.0,44,24.0,0.37,1075S,1074S
tramo,LineaA:1074,LineaA:1073,LineaA,0,3.0,45,24.0,0.37,1074S,1073S
tramo,LineaA:1073,LineaA:1072,LineaA,0,4.0,46,24.0,0.38,1073S,1072S
tramo,LineaA:1072,LineaA:1071,LineaA,0,5.0,68,24.0,0.56,1072S,1071S
tramo,LineaA:1071,LineaA:1069,LineaA,0,6.0,90,24.0,0.74,1071S,1069S
tramo,LineaA:1069,LineaA:1068,LineaA,0,7.0,52,24.0,0.56,1069S,1068S
tramo,LineaA:1068,LineaA:1067,LineaA,0,8.0,113,24.0,0.79,1068S,1067S
tramo,LineaA:1067,LineaA:1066,LineaA,0,9.0,75,24.0,0.62,1067S,1066S
tramo,LineaA:1066,LineaA:1065,LineaA,0,10.0,96,24.0,0.79,1066S,1065S
tramo,LineaA:1065,LineaA:1064,LineaA,0,11.0,83,24.0,0.68,1065S,1064S
tramo,LineaA:1064,LineaA:1063,LineaA,0,12.0,69,24.0,0.58,1064S,1063S
tramo,LineaA:1063,LineaA:1062,LineaA,0,13.0,92,24.0,0.76,1063S,1062S
tramo,LineaA:1062,LineaA:1061,LineaA,0,14.0,89,24.0,0.74,1062S,1061S
tramo,LineaA:1061,LineaA:1060,LineaA,0,15.0,92,24.0,0.75,1061S,1060S
tramo,LineaA:1060,LineaA:1059,LineaA,0,16.0,81,24.0,0.66,1060S,1059S
tramo,LineaA:1059,LineaA:1060,LineaA,1,1.0,81,24.0,0.66,1059N,1060N
tramo,LineaA:1060,LineaA:1061,LineaA,1,2.0,92,24.0,0.75,1060N,1061N
tramo,LineaA:1061,LineaA:1062,LineaA,1,3.0,89,24.0,0.74,1061N,1062N
tramo,LineaA:1062,LineaA:1063,LineaA,1,4.0,92,24.0,0.76,1062N,1063N
tramo,LineaA:1063,LineaA:1064,LineaA,1,5.0,69,24.0,0.58,1063N,1064N
tramo,LineaA:1064,LineaA:1065,LineaA,1,6.0,83,24.0,0.68,1064N,1065N
tramo,LineaA:1065,LineaA:1066,LineaA,1,7.0,96,24.0,0.79,1065N,1066N
tramo,LineaA:1066,LineaA:1067,LineaA,1,8.0,75,24.0,0.62,1066N,1067N
tramo,LineaA:1067,LineaA:1068,LineaA,1,9.0,113,24.0,0.79,1067N,1068N
tramo,LineaA:1068,LineaA:1070,LineaA,1,10.0,79,24.0,0.78,1068N,1070N
tramo,LineaA:1070,LineaA:1071,LineaA,1,11.0,63,24.0,0.52,1070N,1071N
tramo,LineaA:1071,LineaA:1072,LineaA,1,12.0,68,24.0,0.56,1071N,1072N
tramo,LineaA:1072,LineaA:1073,LineaA,1,13.0,46,24.0,0.38,1072N,1073N
tramo,LineaA:1073,LineaA:1074,LineaA,1,14.0,45,24.0,0.37,1073N,1074N
tramo,LineaA:1074,LineaA:1075,LineaA,1,15.0,44,24.0,0.37,1074N,1075N
