nodo_id,linea,gtfs_stop_id,nombre,lat,lon,sentidos,orden_dir0,orden_dir1,n_andenes_gtfs,andenes_servidos,es_terminal,es_combinacion
LineaA:1076,LineaA,1076,Plaza de Mayo,-34.608695109514,-58.371493220293,01,1.0,17.0,2,2,True,False
LineaA:1075,LineaA,1075,Peru,-34.608559343180,-58.374563008418,01,2.0,16.0,2,2,False,True
LineaA:1074,LineaA,1074,Piedras,-34.608837932068,-58.378502407734,01,3.0,15.0,2,2,False,False
LineaA:1073,LineaA,1073,Lima,-34.609105721538,-58.382521122784,01,4.0,14.0,2,2,False,True
LineaA:1072,LineaA,1072,Saenz Peña,-34.609416989391,-58.386668153102,01,5.0,13.0,2,2,False,False
LineaA:1071,LineaA,1071,Congreso,-34.609241487037,-58.392670601487,01,6.0,12.0,2,2,False,False
LineaA:1069,LineaA,1069,Alberti,-34.609832012885,-58.400719910883,0,7.0,,1,1,True,False
LineaA:1068,LineaA,1068,Plaza Miserere,-34.609688,-58.406813889700,01,8.0,10.0,2,2,False,True
LineaA:1067,LineaA,1067,Loria,-34.610811060554,-58.415152877453,01,9.0,9.0,2,2,False,False
LineaA:1066,LineaA,1066,Castro Barros,-34.611763606902,-58.421728313005,01,10.0,8.0,2,2,False,False
LineaA:1065,LineaA,1065,Rio de Janeiro,-34.615111439413,-58.429285879212,01,11.0,7.0,2,2,False,False
LineaA:1064,LineaA,1064,Acoyte,-34.618036012360,-58.435862213379,01,12.0,6.0,2,2,False,False
LineaA:1063,LineaA,1063,Primera Junta,-34.620460192436,-58.441400975016,01,13.0,5.0,2,2,False,False
LineaA:1062,LineaA,1062,Puan,-34.623571847053,-58.448787778687,01,14.0,4.0,2,2,False,False
LineaA:1061,LineaA,1061,Carabobo,-34.626422392738,-58.456044495010,01,15.0,3.0,2,2,False,False
LineaA:1060,LineaA,1060,San Jose de Flores,-34.629054501979,-58.463536343831,01,16.0,2.0,2,2,False,False
LineaA:1059,LineaA,1059,San Pedrito,-34.630922591443,-58.470433205504,01,17.0,1.0,2,2,True,False
LineaA:1070,LineaA,1070,Pasco,-34.609664444429,-58.398340314029,1,,11.0,1,1,True,False
LineaB:1093,LineaB,1093,Leandro N. Alem,-34.602967313448,-58.369956314500,01,1.0,17.0,2,2,True,True
LineaB:1092,LineaB,1092,Florida,-34.603301786393,-58.374534845324,01,2.0,16.0,2,2,False,False
LineaB:1091,LineaB,1091,Carlos Pellegrini,-34.603701386103,-58.381378501576,01,3.0,15.0,2,2,False,True
LineaB:1090,LineaB,1090,Uruguay,-34.604046341872,-58.387106358997,01,4.0,14.0,2,2,False,False
LineaB:1089,LineaB,1089,Callao,-34.604457527748,-58.392845615810,01,5.0,13.0,2,2,False,False
LineaB:1088,LineaB,1088,Pasteur,-34.604623105662,-58.399357348627,01,6.0,12.0,2,2,False,False
LineaB:1087,LineaB,1087,Pueyrredon,-34.604613170616,-58.405234068657,01,7.0,11.0,2,2,False,True
LineaB:1086,LineaB,1086,Carlos Gardel,-34.604103190729,-58.411704897892,01,8.0,10.0,2,2,False,False
LineaB:1085,LineaB,1085,Medrano,-34.603139517524,-58.421303182836,01,9.0,9.0,2,2,False,False
LineaB:1083,LineaB,1083,angel Gallardo,-34.602156515827,-58.431022167144,01,10.0,8.0,2,2,False,False
LineaB:1084,LineaB,1084,Malabia,-34.599048472974,-58.439674973441,01,11.0,7.0,2,2,False,False
LineaB:1082,LineaB,1082,Dorrego,-34.591692697391,-58.447618335534,01,12.0,6.0,2,2,False,False
LineaB:1081,LineaB,1081,Federico Lacroze,-34.587565207891,-58.454097211372,01,13.0,5.0,2,2,False,False
LineaB:1080,LineaB,1080,Tronador - Villa Ortuzar,-34.584319159038,-58.465676307586,01,14.0,4.0,2,2,False,False
LineaB:1079,LineaB,1079,De Los Incas - Parque Chas,-34.581941400922,-58.472949117288,01,15.0,3.0,2,2,False,False
LineaB:1078,LineaB,1078,Echeverria,-34.577998380396,-58.480763733193,01,16.0,2.0,2,2,False,False
LineaB:1077,LineaB,1077,Juan Manuel de Rosas,-34.574011003989,-58.486718237493,01,17.0,1.0,2,2,True,False
