linea,cabecera,hora,n,mediana,media,p10,p90,minimo,maximo,desvio
A,A,5,1938,252.0,182.7,0.0,361.0,0.0,624.0,158.6
A,A,6,3088,255.0,264.5,174.0,364.0,85.0,660.0,76.0
A,A,7,3984,191.0,201.5,142.0,276.0,79.0,613.0,55.9
A,A,8,4139,187.0,193.2,135.0,257.0,80.0,630.0,49.8
A,A,9,4194,187.0,190.5,130.0,251.0,83.0,551.0,50.9
A,A,10,3603,212.0,220.4,143.0,309.0,56.0,631.0,67.3
A,A,11,3347,229.0,236.0,164.0,315.0,86.0,618.0,63.4
A,A,12,3328,233.0,241.0,175.0,315.3,86.0,702.0,59.5
A,A,13,3306,231.0,238.6,171.0,313.5,77.0,561.0,58.9
A,A,14,3709,202.0,213.9,149.0,291.0,87.0,703.0,61.7
A,A,15,4104,185.0,197.3,139.0,262.0,83.0,7612.0,138.7
A,A,16,4060,185.0,195.5,138.0,262.0,88.0,1470.0,56.5
A,A,17,4002,187.0,198.7,142.0,268.0,0.0,666.0,55.8
A,A,18,4043,187.0,196.9,141.0,262.0,31.0,707.0,54.2
A,A,19,4015,187.0,198.4,140.0,271.0,77.0,778.0,56.9
A,A,20,3358,225.0,235.4,160.0,324.0,79.0,823.0,68.8
A,A,21,2510,313.0,315.1,210.0,420.0,88.0,794.0,83.0
A,A,22,2309,329.0,337.6,269.0,412.0,113.0,852.0,67.6
A,A,23,205,334.0,327.4,226.4,403.8,130.0,551.0,76.6
A,D,5,1813,272.0,197.2,0.0,366.8,0.0,750.0,162.0
A,D,6,2660,303.0,306.0,215.0,394.0,62.0,1889.0,83.3
A,D,7,3535,226.0,227.3,151.0,299.0,85.0,882.0,61.8
A,D,8,4114,182.0,193.8,135.0,267.7,89.0,628.0,55.7
A,D,9,4226,179.0,188.4,132.5,259.5,89.0,493.0,53.3
A,D,10,4008,185.0,199.2,136.0,279.0,97.0,633.0,61.3
A,D,11,3384,231.0,234.2,144.0,326.0,16.0,882.0,74.3
A,D,12,3324,235.0,240.4,147.0,341.7,107.0,716.0,77.1
A,D,13,3298,239.0,241.3,150.0,333.0,92.0,602.0,72.1
A,D,14,3366,231.0,235.0,147.0,324.0,53.0,1023.0,74.0
A,D,15,4032,183.0,199.4,135.0,273.0,97.0,7501.0,143.4
A,D,16,4110,179.0,193.8,136.0,270.0,91.0,1311.0,60.4
A,D,17,3984,187.0,200.6,141.0,272.0,103.0,1224.0,62.3
A,D,18,4036,187.0,197.2,144.0,263.0,0.0,647.0,49.2
A,D,19,4073,183.0,195.8,143.0,266.0,105.0,849.0,54.4
A,D,20,3746,197.0,210.4,144.0,286.5,110.0,744.0,61.7
A,D,21,2893,264.0,270.8,165.0,381.8,111.0,769.0,85.0
A,D,22,2494,327.0,332.0,254.0,405.7,112.0,765.0,71.1
A,D,23,1124,339.0,352.6,282.3,435.0,61.0,770.0,72.8
B,A,0,179,660.0,692.9,467.6,965.0,293.0,1612.0,218.0
B,A,1,61,789.0,806.4,600.0,1140.0,346.0,1680.0,235.2
B,A,5,1935,280.0,423.8,0.0,399.0,0.0,16127.0,1870.4
B,A,6,2497,309.0,316.0,229.0,410.0,105.0,1307.0,79.9
B,A,7,3007,257.0,265.7,184.0,350.0,81.0,1123.0,73.5
B,A,8,3115,244.0,255.2,173.0,340.0,83.0,1020.0,77.4
B,A,9,3125,244.0,253.5,166.4,345.6,0.0,1186.0,78.0
B,A,10,2948,261.0,269.9,179.0,362.0,103.0,1373.0,80.2
B,A,11,2850,268.0,279.4,193.0,371.1,79.0,1139.0,80.5
B,A,12,2864,266.5,278.0,189.0,374.0,93.0,967.0,80.1
B,A,13,2825,268.0,278.3,185.4,373.0,77.0,1195.0,83.9
B,A,14,3096,244.0,254.8,157.0,351.0,80.0,1812.0,91.3
B,A,15,3137,242.0,253.6,157.0,343.0,81.0,7495.0,168.2
B,A,16,3143,239.0,249.5,155.0,349.8,0.0,994.0,83.3
B,A,17,3172,236.5,246.3,150.0,351.0,73.0,877.0,83.2
B,A,18,3056,244.0,256.0,153.0,365.0,66.0,871.0,90.5
B,A,19,3012,253.0,263.4,156.0,375.9,60.0,4763.0,123.5
B,A,20,2661,285.0,297.5,180.0,425.0,77.0,1336.0,105.2
B,A,21,2560,297.0,306.5,190.0,431.0,83.0,1754.0,103.1
B,A,22,2110,359.0,369.5,240.0,506.0,52.0,1382.0,116.7
B,A,23,426,521.0,526.2,290.0,780.0,113.0,1348.0,200.8
B,D,0,186,657.0,689.8,420.0,1020.0,180.0,1560.0,236.2
B,D,1,170,720.0,760.4,420.0,1086.4,202.0,2098.0,288.9
B,D,2,1,1680.0,1680.0,1680.0,1680.0,1680.0,1680.0,
B,D,5,1792,212.5,512.2,0.0,443.0,0.0,14208.0,2039.2
B,D,6,2227,355.0,360.0,254.0,468.0,109.0,1148.0,94.8
B,D,7,2760,279.0,291.7,185.0,405.0,32.0,1142.0,96.2
B,D,8,3045,249.0,263.9,166.0,371.0,55.0,1165.0,90.5
B,D,9,3165,237.0,253.4,158.0,361.6,18.0,866.0,88.7
B,D,10,3096,243.0,257.4,166.0,358.5,35.0,929.0,85.4
B,D,11,2889,267.0,276.1,180.8,376.0,104.0,1158.0,85.1
B,D,12,2833,267.0,279.2,179.0,381.0,30.0,1156.0,88.9
B,D,13,2799,269.0,279.8,179.0,380.0,0.0,2248.0,93.3
B,D,14,2949,255.0,268.3,171.0,373.0,45.0,1199.0,93.1
B,D,15,3136,240.0,253.9,161.0,343.0,28.0,7307.0,165.1
B,D,16,3153,237.0,249.3,161.0,348.0,51.0,991.0,80.7
B,D,17,3080,238.5,254.3,159.0,358.1,0.0,1057.0,89.6
B,D,18,3148,237.0,250.2,161.0,347.0,10.0,810.0,80.6
B,D,19,3134,238.0,252.2,161.0,354.0,0.0,1235.0,85.1
B,D,20,2812,274.5,282.0,178.0,386.9,39.0,2127.0,94.0
B,D,21,2708,283.0,292.4,181.7,412.0,18.0,1871.0,100.8
B,D,22,2346,332.0,337.6,205.0,476.0,82.0,1138.0,108.4
B,D,23,1394,368.0,395.5,254.3,564.4,35.0,1253.0,139.0
C,A,5,1803,240.0,203.1,0.0,323.0,0.0,1121.0,120.6
C,A,6,3793,201.0,212.8,159.0,283.0,102.0,638.0,51.2
C,A,7,4108,180.0,195.3,154.0,258.0,102.0,666.0,45.9
C,A,8,4054,183.0,196.9,152.0,263.7,38.0,659.0,48.0
C,A,9,3955,185.0,201.1,149.0,269.6,113.0,1967.0,60.7
C,A,10,3172,241.0,249.2,167.0,341.0,127.0,573.0,69.4
C,A,11,2995,259.0,266.4,186.0,349.0,130.0,1351.0,69.6
C,A,12,2989,260.0,265.1,185.0,347.0,129.0,704.0,64.4
C,A,13,2971,261.0,267.9,186.0,353.0,110.0,710.0,66.9
C,A,14,3388,226.0,240.3,161.0,330.0,112.0,3970.0,113.8
C,A,15,4005,185.0,201.4,148.0,271.0,79.0,7341.0,124.3
C,A,16,3998,185.0,199.1,146.0,268.0,112.0,1706.0,58.3
C,A,17,3972,182.0,200.0,143.0,276.0,60.0,679.0,60.3
C,A,18,3958,184.0,202.3,142.0,282.0,103.0,903.0,64.8
C,A,19,3980,185.0,201.0,142.0,279.0,79.0,703.0,58.4
C,A,20,2754,278.0,282.6,173.0,393.0,70.0,980.0,85.7
C,A,21,2671,298.0,302.6,212.0,392.0,129.0,5395.0,121.8
C,A,22,2628,299.0,301.7,210.0,396.0,127.0,597.0,72.3
C,A,23,860,329.5,352.8,237.9,504.1,143.0,1478.0,113.2
C,D,5,1482,273.0,251.1,21.0,339.0,0.0,642.0,101.8
C,D,6,3604,216.0,222.6,154.0,299.0,93.0,587.0,56.7
C,D,7,4053,193.0,197.0,141.0,258.0,85.0,507.0,46.8
C,D,8,4041,192.0,197.4,139.0,262.0,52.0,808.0,52.3
C,D,9,4037,189.0,197.0,137.6,266.0,89.0,1414.0,59.2
C,D,10,3310,234.0,240.2,157.0,324.0,105.0,699.0,68.4
C,D,11,3035,264.0,264.4,179.0,344.6,108.0,1242.0,68.2
C,D,12,2999,264.0,265.6,185.0,342.2,110.0,1033.0,64.5
C,D,13,2952,266.0,268.9,187.0,347.0,108.0,583.0,64.1
C,D,14,3210,245.0,248.5,162.0,332.0,106.0,3660.0,95.6
C,D,15,3943,195.0,204.9,142.0,270.0,95.0,7613.0,140.1
C,D,16,4003,194.0,198.9,141.0,261.0,103.0,1466.0,55.7
C,D,17,3983,194.0,201.3,142.0,269.0,85.0,666.0,55.0
C,D,18,3950,196.0,202.6,139.0,277.1,105.0,946.0,58.1
C,D,19,4000,192.0,198.7,137.0,268.1,88.0,826.0,54.9
C,D,20,3069,255.0,257.7,163.0,353.0,103.0,1731.0,80.0
C,D,21,2632,298.0,305.0,221.0,392.0,100.0,5104.0,115.6
C,D,22,2647,295.0,299.3,218.0,388.0,117.0,610.0,67.6
C,D,23,1455,314.0,329.6,242.0,431.6,110.0,1233.0,86.5
D,A,0,31,789.0,761.9,502.0,980.0,153.0,1356.0,224.9
D,A,1,18,867.5,849.7,618.8,1027.4,503.0,1094.0,163.1
D,A,5,1834,253.5,269.8,0.0,413.7,0.0,16197.0,1060.3
D,A,6,2625,302.0,304.0,205.0,392.0,89.0,1033.0,80.5
D,A,7,3355,235.0,237.0,161.0,308.0,3.0,895.0,66.5
