nodo,hora,pax
LineaA:1059,5,142
LineaA:1059,6,1050
LineaA:1059,7,3355
LineaA:1059,8,3711
LineaA:1059,9,2300
LineaA:1059,10,1413
LineaA:1059,11,1281
LineaA:1059,12,1520
LineaA:1059,13,1754
LineaA:1059,14,1345
LineaA:1059,15,1326
LineaA:1059,16,1642
LineaA:1059,17,1771
LineaA:1059,18,862
LineaA:1059,19,375
LineaA:1059,20,201
LineaA:1059,21,113
LineaA:1059,22,84
LineaA:1059,23,3
LineaA:1060,5,47
LineaA:1060,6,364
LineaA:1060,7,1295
LineaA:1060,8,1395
LineaA:1060,9,892
LineaA:1060,10,535
LineaA:1060,11,447
LineaA:1060,12,570
LineaA:1060,13,576
LineaA:1060,14,418
LineaA:1060,15,434
LineaA:1060,16,476
LineaA:1060,17,562
LineaA:1060,18,451
LineaA:1060,19,245
LineaA:1060,20,166
LineaA:1060,21,105
LineaA:1060,22,60
LineaA:1060,23,4
LineaA:1061,5,36
LineaA:1061,6,218
LineaA:1061,7,1058
LineaA:1061,8,1328
LineaA:1061,9,914
LineaA:1061,10,480
LineaA:1061,11,395
LineaA:1061,12,484
LineaA:1061,13,520
LineaA:1061,14,434
LineaA:1061,15,372
LineaA:1061,16,456
LineaA:1061,17,523
LineaA:1061,18,434
LineaA:1061,19,305
LineaA:1061,20,190
LineaA:1061,21,106
LineaA:1061,22,66
LineaA:1061,23,6
LineaA:1062,5,2
LineaA:1062,6,140
LineaA:1062,7,659
LineaA:1062,8,776
LineaA:1062,9,519
LineaA:1062,10,328
LineaA:1062,11,201
LineaA:1062,12,303
LineaA:1062,13,265
LineaA:1062,14,187
LineaA:1062,15,209
LineaA:1062,16,231
LineaA:1062,17,281
LineaA:1062,18,376
LineaA:1062,19,241
LineaA:1062,20,140
LineaA:1062,21,61
LineaA:1062,22,53
LineaA:1062,23,3
LineaA:1063,5,63
LineaA:1063,6,361
LineaA:1063,7,1205
LineaA:1063,8,1527
LineaA:1063,9,1106
LineaA:1063,10,650
LineaA:1063,11,579
LineaA:1063,12,627
LineaA:1063,13,726
LineaA:1063,14,494
LineaA:1063,15,443
LineaA:1063,16,530
LineaA:1063,17,587
LineaA:1063,18,552
LineaA:1063,19,367
LineaA:1063,20,276
LineaA:1063,21,154
LineaA:1063,22,79
LineaA:1063,23,8
LineaA:1064,5,44
LineaA:1064,6,231
LineaA:1064,7,983
LineaA:1064,8,1235
LineaA:1064,9,997
LineaA:1064,10,617
LineaA:1064,11,564
LineaA:1064,12,758
LineaA:1064,13,761
LineaA:1064,14,573
LineaA:1064,15,601
LineaA:1064,16,685
LineaA:1064,17,761
LineaA:1064,18,764
LineaA:1064,19,568
LineaA:1064,20,381
LineaA:1064,21,206
LineaA:1064,22,85
LineaA:1064,23,9
LineaA:1065,5,22
LineaA:1065,6,168
LineaA:1065,7,808
LineaA:1065,8,944
LineaA:1065,9,729
LineaA:1065,10,460
LineaA:1065,11,422
LineaA:1065,12,504
LineaA:1065,13,536
LineaA:1065,14,392
LineaA:1065,15,380
LineaA:1065,16,605
LineaA:1065,17,616
LineaA:1065,18,495
LineaA:1065,19,381
LineaA:1065,20,276
LineaA:1065,21,168
LineaA:1065,22,102
LineaA:1065,23,10
LineaA:1066,5,21
LineaA:1066,6,118
LineaA:1066,7,592
LineaA:1066,8,679
LineaA:1066,9,501
LineaA:1066,10,381
LineaA:1066,11,354
LineaA:1066,12,408
LineaA:1066,13,409
LineaA:1066,14,362
LineaA:1066,15,422
LineaA:1066,16,502
LineaA:1066,17,592
LineaA:1066,18,451
LineaA:1066,19,305
LineaA:1066,20,222
LineaA:1066,21,173
LineaA:1066,22,85
LineaA:1066,23,13
LineaA:1067,5,12
LineaA:1067,6,121
LineaA:1067,7,450
LineaA:1067,8,500
LineaA:1067,9,398
LineaA:1067,10,343
LineaA:1067,11,327
LineaA:1067,12,454
LineaA:1067,13,488
LineaA:1067,14,399
LineaA:1067,15,394
LineaA:1067,16,499
LineaA:1067,17,451
LineaA:1067,18,528
LineaA:1067,19,294
LineaA:1067,20,209
LineaA:1067,21,181
LineaA:1067,22,80
LineaA:1067,23,11
LineaA:1068,5,63
LineaA:1068,6,447
LineaA:1068,7,885
LineaA:1068,8,1381
LineaA:1068,9,1102
LineaA:1068,10,618
LineaA:1068,11,721
LineaA:1068,12,765
LineaA:1068,13,845
LineaA:1068,14,663
LineaA:1068,15,613
LineaA:1068,16,622
LineaA:1068,17,636
LineaA:1068,18,622
LineaA:1068,19,323
LineaA:1068,20,183
LineaA:1068,21,136
LineaA:1068,22,73
LineaA:1068,23,8
LineaA:1069,5,3
LineaA:1069,6,43
LineaA:1069,7,156
LineaA:1069,8,163
LineaA:1069,9,149
LineaA:1069,10,159
LineaA:1069,11,190
LineaA:1069,12,228
LineaA:1069,13,252
LineaA:1069,14,285
LineaA:1069,15,335
LineaA:1069,16,358
LineaA:1069,17,381
LineaA:1069,18,391
LineaA:1069,19,174
LineaA:1069,20,117
LineaA:1069,21,95
LineaA:1069,22,68
LineaA:1069,23,7
