comp_origen,linea_ascenso,rango_horario,etapas,expandidas
LineaA:1059,LineaA,5,36,45.38219178082192
LineaA:1059,LineaA,6,322,403.0908256880734
LineaA:1059,LineaA,7,1043,1276.0643572621038
LineaA:1059,LineaA,8,1199,1447.2727508560754
LineaA:1059,LineaA,9,773,949.899002005209
LineaA:1059,LineaA,10,435,544.7807879226553
LineaA:1059,LineaA,11,342,428.33428863868977
LineaA:1059,LineaA,12,432,540.1473643173401
LineaA:1059,LineaA,13,462,580.4327423573862
LineaA:1059,LineaA,14,317,395.9857619176354
LineaA:1059,LineaA,15,327,410.36042103030456
LineaA:1059,LineaA,16,361,454.2772577033799
LineaA:1059,LineaA,17,410,513.9017761312883
LineaA:1059,LineaA,18,332,419.83210921615006
LineaA:1059,LineaA,19,164,221.13745251569887
LineaA:1059,LineaA,20,111,154.5449270557029
LineaA:1059,LineaA,21,76,108.50371636052967
LineaA:1059,LineaA,22,36,51.34761441090555
LineaA:1060,LineaA,5,115,144.9708904109589
LineaA:1060,LineaA,6,858,1074.0743119266056
LineaA:1060,LineaA,7,2744,3357.1626043405686
LineaA:1060,LineaA,8,3194,3855.370447234616
LineaA:1060,LineaA,9,1909,2345.8695922741836
LineaA:1060,LineaA,10,1069,1338.7831316995828
LineaA:1060,LineaA,11,970,1214.866257250085
LineaA:1060,LineaA,12,1151,1439.142630391802
LineaA:1060,LineaA,13,1329,1669.686395222871
LineaA:1060,LineaA,14,957,1195.4522844011894
LineaA:1060,LineaA,15,939,1178.3744200228014
LineaA:1060,LineaA,16,1197,1506.2877492269965
LineaA:1060,LineaA,17,1252,1569.28054564969
LineaA:1060,LineaA,18,593,749.880845678244
LineaA:1060,LineaA,19,265,357.32576168695243
LineaA:1060,LineaA,20,123,171.25248673740055
LineaA:1060,LineaA,21,72,102.79299444681757
LineaA:1060,LineaA,22,55,78.44774423888347
LineaA:1061,LineaA,5,30,37.81849315068493
LineaA:1061,LineaA,6,187,234.09311926605503
LineaA:1061,LineaA,7,868,1061.9595993322207
LineaA:1061,LineaA,8,1155,1394.1618242191553
LineaA:1061,LineaA,9,759,932.6951390969646
LineaA:1061,LineaA,10,383,479.6575672974184
LineaA:1061,LineaA,11,318,398.2757420675536
LineaA:1061,LineaA,12,372,465.1268970510429
LineaA:1061,LineaA,13,399,501.2828229450154
LineaA:1061,LineaA,14,338,422.218257186627
LineaA:1061,LineaA,15,276,346.3592544475965
LineaA:1061,LineaA,16,324,407.716984753172
LineaA:1061,LineaA,17,391,490.0868157739847
LineaA:1061,LineaA,18,322,407.1865637578323
LineaA:1061,LineaA,19,194,261.5894255368633
LineaA:1061,LineaA,20,130,180.9985632183908
LineaA:1061,LineaA,21,80,114.21443827424176
LineaA:1061,LineaA,22,47,67.03716325868224
