complejo,nombre,lineas,n_nodos,nodos,lat,lon
LineaD:1117,9 de Julio / Carlos Pellegrini / Diagonal Norte,B+C+D,3,LineaB:1091 LineaC:1099 LineaD:1117,-34.60428164614933,-58.38032193480033
LineaA:1064,Acoyte,A,1,LineaA:1064,-34.61803601236,-58.435862213379
LineaD:1112,Agüero,D,1,LineaD:1112,-34.591698218136,-58.407092839478
LineaA:1069,Alberti,A,1,LineaA:1069,-34.609832012885,-58.400719910883
LineaC:1098,Avenida de Mayo / Lima,A+C,2,LineaA:1073 LineaC:1098,-34.609048323648,-58.3816012927225
LineaE:1120,Belgrano,E,1,LineaE:1120,-34.61341039242,-58.378220200429
LineaE:1127,Boedo,E,1,LineaE:1127,-34.625545058485,-58.416628092456
LineaE:1119,Bolivar / Catedral / Peru,A+D+E,3,LineaA:1075 LineaD:1118 LineaE:1119,-34.608586381653666,-58.374289870226995
LineaD:1111,Bulnes,D,1,LineaD:1111,-34.588258565847,-58.411264344992
LineaB:1089,Callao [B],B,1,LineaB:1089,-34.604457527748,-58.39284561581
LineaD:1115,Callao [D],D,1,LineaD:1115,-34.599602641978,-58.392240107111
LineaA:1061,Carabobo,A,1,LineaA:1061,-34.626422392738,-58.45604449501
LineaB:1086,Carlos Gardel,B,1,LineaB:1086,-34.604103190729,-58.411704897892
LineaH:1136,Caseros,H,1,LineaH:1136,-34.635265854589,-58.399158865153
LineaA:1066,Castro Barros,A,1,LineaA:1066,-34.611763606902,-58.421728313005
LineaE:1165,Catalinas,E,1,LineaE:1165,-34.59664167,-58.37190833
LineaA:1071,Congreso,A,1,LineaA:1071,-34.609241487037,-58.392670601487
LineaD:1103,Congreso de Tucuman,D,1,LineaD:1103,-34.555987572378,-58.462078124285
LineaC:1094,Constitucion,C,1,LineaC:1094,-34.62727654292,-58.381431475198
LineaH:1160,Cordoba,H,1,LineaH:1160,-34.598686142195,-58.403805105041
LineaE:1166,Correo Central / Leandro N. Alem,B+E,2,LineaB:1093 LineaE:1166,-34.603046156724,-58.370075377250004
LineaH:1141,Corrientes / Pueyrredon,B+H,2,LineaB:1087 LineaH:1141,-34.604268490994,-58.4052756428715
LineaB:1079,De Los Incas - Parque Chas,B,1,LineaB:1079,-34.581941400922,-58.472949117288
LineaB:1082,Dorrego,B,1,LineaB:1082,-34.591692697391,-58.447618335534
LineaB:1078,Echeverria,B,1,LineaB:1078,-34.577998380396,-58.480763733193
LineaE:1130,Emilio Mitre,E,1,LineaE:1130,-34.631632139071,-58.442524820568
LineaE:1123,Entre Rios,E,1,LineaE:1123,-34.622759595691,-58.391514569428
LineaH:1163,Facultad de Derecho,H,1,LineaH:1163,-34.58319402976,-58.391207324196
LineaD:1114,Facultad de Medicina,D,1,LineaD:1114,-34.599719656814,-58.397433534301
LineaB:1081,Federico Lacroze,B,1,LineaB:1081,-34.587565207891,-58.454097211372
LineaB:1092,Florida,B,1,LineaB:1092,-34.603301786393,-58.374534845324
LineaC:1101,General San Martin,C,1,LineaC:1101,-34.594872221186,-58.377256616835
LineaE:1126,General Urquiza,E,1,LineaE:1126,-34.624681784582,-58.409617468688
LineaH:1134,Hospitales,H,1,LineaH:1134,-34.641752739715,-58.412673175271
LineaH:1138,Humberto 1 / Jujuy,E+H,2,LineaE:1125 LineaH:1138,-34.623497506885,-58.4025758347115
LineaH:1137,Inclan,H,1,LineaH:1137,-34.629351188776,-58.400986790654
LineaE:1121,Independencia,C+E,2,LineaC:1096 LineaE:1121,-34.61803104491,-58.3805703185415
LineaD:1105,Jose Hernandez,D,1,LineaD:1105,-34.566267592324,-58.451968878529
LineaE:1129,Jose Maria Moreno,E,1,LineaE:1129,-34.628084339372,-58.434297814982
LineaB:1077,Juan Manuel de Rosas,B,1,LineaB:1077,-34.574011003989,-58.486718237493
LineaD:1104,Juramento,D,1,LineaD:1104,-34.562410402122,-58.456280529496
LineaE:1128,La Plata,E,1,LineaE:1128,-34.626836228126,-58.425610810552
LineaH:1162,Las Heras,H,1,LineaH:1162,-34.588062575386,-58.39804479425
LineaC:1100,Lavalle,C,1,LineaC:1100,-34.60177622427,-58.378115594396
LineaA:1067,Loria,A,1,LineaA:1067,-34.610811060554,-58.415152877453
LineaB:1084,Malabia,B,1,LineaB:1084,-34.599048472974,-58.439674973441
LineaE:1131,Medalla Milagrosa,E,1,LineaE:1131,-34.636250121811,-58.450398445176
LineaB:1085,Medrano,B,1,LineaB:1085,-34.603139517524,-58.421303182836
LineaD:1107,Ministro Carranza,D,1,LineaD:1107,-34.575205802166,-58.434726297831
LineaC:1097,Moreno,C,1,LineaC:1097,-34.612434686061,-58.380517847867
LineaD:1106,Olleros,D,1,LineaD:1106,-34.570246506058,-58.444336652709
