comp_origen,comp_destino,linea_ascenso,etapas,expandidas
LineaA:1059,LineaA:1060,LineaA,79,99.82237196251799
LineaA:1059,LineaA:1061,LineaA,75,93.6956509454557
LineaA:1059,LineaA:1062,LineaA,127,159.09707706903194
LineaA:1059,LineaA:1063,LineaA,217,273.6736713512349
LineaA:1059,LineaA:1064,LineaA,352,441.35135406412024
LineaA:1059,LineaA:1065,LineaA,284,355.87530973256895
LineaA:1059,LineaA:1066,LineaA,267,334.0285060470601
LineaA:1059,LineaA:1067,LineaA,183,228.56852662269128
LineaA:1059,LineaA:1069,LineaA,139,174.28050617796526
LineaA:1059,LineaA:1070,LineaA,35,44.069971413498735
LineaA:1059,LineaA:1071,LineaA,401,498.4608891294987
LineaA:1059,LineaA:1072,LineaA,224,278.2640221077977
LineaA:1059,LineaA:1074,LineaA,205,252.79855517555936
LineaA:1059,LineaA:1076,LineaA,642,790.4244728957121
LineaA:1059,LineaB:1077,LineaA,11,14.14933399869917
LineaA:1059,LineaB:1078,LineaA,5,6.403672048567783
LineaA:1059,LineaB:1079,LineaA,3,3.727730062448659
LineaA:1059,LineaB:1080,LineaA,3,3.637588788550251
LineaA:1059,LineaB:1081,LineaA,13,16.541183451175282
LineaA:1059,LineaB:1082,LineaA,13,15.959008645532851
LineaA:1059,LineaB:1083,LineaA,31,39.09104319011258
LineaA:1059,LineaB:1084,LineaA,24,30.26956186796234
LineaA:1059,LineaB:1085,LineaA,30,37.81794174866137
LineaA:1059,LineaB:1086,LineaA,31,38.632580328239996
LineaA:1059,LineaB:1088,LineaA,29,36.18652170675774
LineaA:1059,LineaB:1089,LineaA,47,58.51599265477399
LineaA:1059,LineaB:1090,LineaA,49,60.94176607099458
LineaA:1059,LineaB:1092,LineaA,33,40.580482766697244
LineaA:1059,LineaC:1094,LineaA,336,425.7224472635579
LineaA:1059,LineaC:1095,LineaA,22,27.464971826638305
LineaA:1059,LineaC:1097,LineaA,23,28.29549044718617
LineaA:1059,LineaC:1098,LineaA,272,336.59278502904436
LineaA:1059,LineaC:1100,LineaA,79,97.91937457989158
LineaA:1059,LineaC:1101,LineaA,75,92.43007982390203
LineaA:1059,LineaD:1103,LineaA,27,33.94609871884729
LineaA:1059,LineaD:1104,LineaA,50,62.09399574785542
LineaA:1059,LineaD:1105,LineaA,10,12.43399672429371
LineaA:1059,LineaD:1106,LineaA,22,27.415980384992146
LineaA:1059,LineaD:1107,LineaA,21,26.013230621478392
LineaA:1059,LineaD:1108,LineaA,39,48.63245775768334
LineaA:1059,LineaD:1109,LineaA,62,77.52384487372241
LineaA:1059,LineaD:1110,LineaA,31,38.76266963573396
LineaA:1059,LineaD:1111,LineaA,48,60.335619615406806
LineaA:1059,LineaD:1112,LineaA,15,18.644064557726953
LineaA:1059,LineaD:1114,LineaA,60,74.56355111131046
LineaA:1059,LineaD:1115,LineaA,90,112.06575074781463
LineaA:1059,LineaD:1116,LineaA,93,115.3145053603216
LineaA:1059,LineaD:1117,LineaA,63,78.90778927180769
LineaA:1059,LineaE:1119,LineaA,544,670.8608455763699
LineaA:1059,LineaE:1120,LineaA,39,48.29228920467659
LineaA:1059,LineaE:1121,LineaA,106,131.84669715736212
LineaA:1059,LineaE:1122,LineaA,23,28.718496792756127
LineaA:1059,LineaE:1123,LineaA,20,25.63247498959428
LineaA:1059,LineaE:1124,LineaA,3,3.7207875016877896
