linea,direction_id,orden,nodo,hora,pasajeros_hora_media,pasajeros_hora_desvio,formaciones_hora_media,capacidad,max_a_bordo,max_anden,quedaron_abajo_por_replica
A,0,0,LineaA:1076,5,38.90,6.19,6.00,895,354,354,0.0
A,0,0,LineaA:1076,6,148.40,11.33,12.00,895,354,354,0.0
A,0,0,LineaA:1076,7,391.70,12.32,16.60,895,354,354,0.0
A,0,0,LineaA:1076,8,510.60,16.60,19.50,895,354,354,0.0
A,0,0,LineaA:1076,9,500.30,23.91,20.30,895,354,354,0.0
A,0,0,LineaA:1076,10,424.40,24.97,18.30,895,354,354,0.0
A,0,0,LineaA:1076,11,517.80,26.28,15.60,895,354,354,0.0
A,0,0,LineaA:1076,12,635.10,21.31,15.60,895,354,354,0.0
A,0,0,LineaA:1076,13,789.80,32.37,15.10,895,354,354,0.0
A,0,0,LineaA:1076,14,887.50,36.79,15.50,895,354,354,0.0
A,0,0,LineaA:1076,15,1254.20,36.63,19.50,895,354,354,0.0
A,0,0,LineaA:1076,16,1955.70,63.73,19.50,895,354,354,0.0
A,0,0,LineaA:1076,17,2462.30,83.68,18.50,895,354,354,0.0
A,0,0,LineaA:1076,18,2018.60,29.10,19.10,895,354,354,0.0
A,0,0,LineaA:1076,19,716.40,34.40,18.90,895,354,354,0.0
A,0,0,LineaA:1076,20,518.50,30.02,17.60,895,354,354,0.0
A,0,0,LineaA:1076,21,279.70,19.87,13.40,895,354,354,0.0
A,0,0,LineaA:1076,22,100.00,12.81,11.20,895,354,354,0.0
A,0,0,LineaA:1076,23,19.10,5.63,4.70,895,354,354,0.0
A,0,1,LineaA:1075,5,40.70,6.15,5.90,895,612,287,0.0
A,0,1,LineaA:1075,6,178.40,11.99,11.90,895,612,287,0.0
A,0,1,LineaA:1075,7,501.40,19.61,16.50,895,612,287,0.0
A,0,1,LineaA:1075,8,700.50,24.54,19.40,895,612,287,0.0
A,0,1,LineaA:1075,9,739.10,34.53,20.20,895,612,287,0.0
A,0,1,LineaA:1075,10,719.20,21.33,18.60,895,612,287,0.0
A,0,1,LineaA:1075,11,840.30,16.84,15.70,895,612,287,0.0
A,0,1,LineaA:1075,12,1053.30,35.36,15.20,895,612,287,0.0
