linea,direction_id,orden,nodo,hora,pasajeros_hora_media,pasajeros_hora_desvio,formaciones_hora_media,capacidad,max_a_bordo,max_anden,quedaron_abajo_por_replica
A,0,0,LineaA:1076,5,38.80,5.67,6.00,895,277,277,0.0
A,0,0,LineaA:1076,6,151.30,15.20,12.20,895,277,277,0.0
A,0,0,LineaA:1076,7,381.70,16.01,15.50,895,277,277,0.0
A,0,0,LineaA:1076,8,519.30,20.07,19.50,895,277,277,0.0
A,0,0,LineaA:1076,9,508.30,22.33,20.30,895,277,277,0.0
A,0,0,LineaA:1076,10,435.10,22.15,18.90,895,277,277,0.0
A,0,0,LineaA:1076,11,508.20,18.34,15.30,895,277,277,0.0
A,0,0,LineaA:1076,12,639.40,35.26,16.00,895,277,277,0.0
A,0,0,LineaA:1076,13,781.90,45.58,15.10,895,277,277,0.0
A,0,0,LineaA:1076,14,890.50,50.75,15.50,895,277,277,0.0
A,0,0,LineaA:1076,15,1232.40,40.35,18.80,895,277,277,0.0
A,0,0,LineaA:1076,16,1978.70,63.38,19.20,895,277,277,0.0
A,0,0,LineaA:1076,17,2446.90,80.49,19.00,895,277,277,0.0
A,0,0,LineaA:1076,18,1997.40,34.61,18.60,895,277,277,0.0
A,0,0,LineaA:1076,19,731.80,24.32,18.70,895,277,277,0.0
A,0,0,LineaA:1076,20,509.00,27.53,17.20,895,277,277,0.0
A,0,0,LineaA:1076,21,285.00,18.63,14.00,895,277,277,0.0
A,0,0,LineaA:1076,22,98.70,8.65,11.30,895,277,277,0.0
A,0,0,LineaA:1076,23,20.40,4.35,4.90,895,277,277,0.0
A,0,1,LineaA:1075,5,41.40,5.72,5.60,895,469,234,0.0
A,0,1,LineaA:1075,6,180.80,10.43,12.10,895,469,234,0.0
A,0,1,LineaA:1075,7,507.50,15.28,16.00,895,469,234,0.0
A,0,1,LineaA:1075,8,711.60,33.00,19.30,895,469,234,0.0
A,0,1,LineaA:1075,9,743.70,36.19,20.30,895,469,234,0.0
A,0,1,LineaA:1075,10,699.60,29.12,18.50,895,469,234,0.0
A,0,1,LineaA:1075,11,836.10,27.71,15.90,895,469,234,0.0
A,0,1,LineaA:1075,12,1071.80,37.14,15.80,895,469,234,0.0
A,0,1,LineaA:1075,13,1338.60,66.51,15.10,895,469,234,0.0
A,0,1,LineaA:1075,14,1541.60,86.37,15.30,895,469,234,0.0
A,0,1,LineaA:1075,15,2305.70,84.27,18.90,895,469,234,0.0
A,0,1,LineaA:1075,16,3234.20,123.20,19.00,895,469,234,0.0
A,0,1,LineaA:1075,17,4261.40,124.32,19.20,895,469,234,0.0
A,0,1,LineaA:1075,18,3564.30,93.62,18.70,895,469,234,0.0
A,0,1,LineaA:1075,19,1477.30,41.67,18.80,895,469,234,0.0
A,0,1,LineaA:1075,20,947.90,20.87,17.10,895,469,234,0.0
A,0,1,LineaA:1075,21,497.50,30.15,14.00,895,469,234,0.0
A,0,1,LineaA:1075,22,193.50,13.62,11.40,895,469,234,0.0
A,0,1,LineaA:1075,23,34.30,4.57,5.00,895,469,234,0.0
A,0,2,LineaA:1074,5,49.50,7.43,5.60,895,559,121,0.0
A,0,2,LineaA:1074,6,203.30,14.50,12.00,895,559,121,0.0
A,0,2,LineaA:1074,7,510.70,20.60,15.80,895,559,121,0.0
A,0,2,LineaA:1074,8,701.70,31.32,19.20,895,559,121,0.0
A,0,2,LineaA:1074,9,769.70,27.90,20.30,895,559,121,0.0
A,0,2,LineaA:1074,10,784.60,34.96,18.70,895,559,121,0.0
A,0,2,LineaA:1074,11,993.50,40.30,15.60,895,559,121,0.0
A,0,2,LineaA:1074,12,1268.00,40.28,15.90,895,559,121,0.0
A,0,2,LineaA:1074,13,1586.90,49.06,15.30,895,559,121,0.0
A,0,2,LineaA:1074,14,1852.30,52.68,15.30,895,559,121,0.0
A,0,2,LineaA:1074,15,2813.20,103.75,18.70,895,559,121,0.0
A,0,2,LineaA:1074,16,3864.80,148.34,19.30,895,559,121,0.0
A,0,2,LineaA:1074,17,5004.60,119.87,19.00,895,559,121,0.0
A,0,2,LineaA:1074,18,4321.80,101.01,18.80,895,559,121,0.0
A,0,2,LineaA:1074,19,1758.70,50.09,18.50,895,559,121,0.0
A,0,2,LineaA:1074,20,1145.20,21.01,16.90,895,559,121,0.0
A,0,2,LineaA:1074,21,614.50,38.58,14.40,895,559,121,0.0
A,0,2,LineaA:1074,22,234.50,21.61,11.30,895,559,121,0.0
A,0,2,LineaA:1074,23,48.50,6.87,5.40,895,559,121,0.0
A,0,3,LineaA:1073,5,139.90,11.91,5.40,895,786,377,0.0
A,0,3,LineaA:1073,6,1057.40,54.57,12.00,895,786,377,0.0
A,0,3,LineaA:1073,7,2463.20,69.14,15.80,895,786,377,0.0
