hora_ingreso,viajes_por_replica,viaje_medio_s,espera_media_s,ascensos_por_viaje
5,4150.6,1407.8,318.6,1.4646
6,25333.7,1325.4,230.1,1.4967
7,68682.8,1204.7,192.2,1.4516
8,74452.1,1157.1,178.5,1.4177
9,62638.0,1105.6,176.5,1.4020
10,41340.8,1068.6,186.9,1.4188
11,41758.3,1084.4,207.8,1.4496
12,49977.9,1071.3,208.9,1.4572
13,53540.4,1078.5,210.0,1.4463
14,45933.1,1071.3,199.0,1.4351
15,51749.8,1073.4,180.5,1.4404
16,63705.4,1093.7,179.2,1.4445
17,80257.4,1114.6,180.6,1.4428
18,67963.2,1097.0,183.3,1.4340
19,38182.9,1070.9,187.3,1.4516
20,27514.1,1130.6,232.4,1.4891
21,18924.7,1163.9,255.7,1.5012
22,9845.8,1157.5,256.4,1.4670
23,957.4,993.4,225.3,1.2857
