replica,semilla,ingresados,arribados,en_andenes,a_bordo,caminando,descartados,conservacion,viaje_medio_s,espera_media_s,ascensos_por_viaje,ascensos_por_viaje_hpm,ascensos_por_viaje_hpt,max_vivos,max_formaciones,quedaron_abajo,segundos_de_computo
1,1,827518,827144,374,0,0,0,OK,1116.4,194.7,1.4427,1.4195,1.4450,26371,77,4662,1.1
2,2,828253,827825,427,0,1,0,OK,1117.6,194.7,1.4421,1.4168,1.4448,27447,78,3268,0.9
3,3,826750,826251,492,7,0,0,OK,1117.0,194.9,1.4421,1.4184,1.4432,26900,77,2554,0.8
4,4,828453,828054,398,1,0,0,OK,1116.7,194.8,1.4427,1.4208,1.4419,26620,78,2446,0.9
5,5,826847,826413,434,0,0,0,OK,1115.4,193.7,1.4427,1.4163,1.4403,26954,77,3144,0.8
6,6,826166,825758,408,0,0,0,OK,1114.3,192.4,1.4423,1.4177,1.4447,26763,79,830,0.9
7,7,828063,827686,374,3,0,0,OK,1114.9,193.2,1.4424,1.4160,1.4433,27106,78,1446,0.8
8,8,826851,826468,382,1,0,0,OK,1114.5,193.1,1.4414,1.4166,1.4397,26719,78,1846,0.8
9,9,826225,825897,328,0,0,0,OK,1118.3,196.0,1.4426,1.4176,1.4396,26969,78,4455,0.9
10,10,827995,827588,399,8,0,0,OK,1118.4,196.7,1.4431,1.4169,1.4452,26970,76,3152,0.8
