hora_ingreso,viajes_por_replica,viaje_medio_s,espera_media_s,ascensos_por_viaje
5,4144.0,1404.8,314.6,1.4638
6,25285.2,1328.2,231.4,1.4983
7,68976.4,1196.0,184.7,1.4511
8,74309.1,1146.9,168.6,1.4186
9,62772.1,1102.1,172.3,1.4002
10,41258.4,1063.9,181.3,1.4193
11,41722.8,1078.1,201.0,1.4502
12,50050.9,1066.4,203.6,1.4568
13,53632.4,1070.5,202.5,1.4472
14,45866.2,1062.1,189.4,1.4360
15,51841.5,1064.4,171.2,1.4387
16,63686.1,1084.7,170.2,1.4459
17,80275.3,1111.0,176.2,1.4441
18,68023.0,1092.3,177.7,1.4344
19,38171.7,1065.0,181.7,1.4531
20,27500.8,1116.2,218.7,1.4879
21,18928.0,1165.2,256.2,1.5026
22,9884.8,1161.9,261.9,1.4709
23,957.8,1017.7,245.7,1.2904
