replica,semilla,ingresados,arribados,en_andenes,a_bordo,caminando,descartados,conservacion,viaje_medio_s,espera_media_s,ascensos_por_viaje,ascensos_por_viaje_hpm,ascensos_por_viaje_hpt,max_vivos,max_formaciones,quedaron_abajo,segundos_de_computo
1,1,828015,827603,408,3,1,0,OK,1120.2,198.8,1.4419,1.4168,1.4431,27148,82,6087,0.9
2,2,827655,827191,464,0,0,0,OK,1125.5,203.0,1.4422,1.4124,1.4457,27594,78,12690,0.8
3,3,827047,826536,509,0,2,0,OK,1122.3,199.7,1.4432,1.4212,1.4437,27796,78,8665,0.8
4,4,827681,827204,476,1,0,0,OK,1121.0,198.1,1.4423,1.4192,1.4434,26950,78,5971,0.7
5,5,827980,827567,413,0,0,0,OK,1120.2,196.7,1.4433,1.4177,1.4427,26787,79,4588,0.8
6,6,826783,826344,439,0,0,0,OK,1120.4,198.4,1.4415,1.4159,1.4457,27128,76,4777,0.8
7,7,828749,828344,400,5,0,0,OK,1122.2,200.1,1.4427,1.4188,1.4462,26952,76,4993,0.8
8,8,826515,826137,377,1,0,0,OK,1125.6,203.7,1.4431,1.4175,1.4445,27202,76,11370,0.8
9,9,827625,827217,408,0,0,0,OK,1120.1,198.2,1.4416,1.4163,1.4391,26654,76,4030,0.8
10,10,828140,827737,403,0,0,0,OK,1118.7,197.0,1.4427,1.4189,1.4448,26647,78,6749,0.8
