linea,periodo,sentido_hacia,orden_llegada,nodo,estacion_sbase,suben,bajan,carga_saliente,direction_id,carga_predicha,comparable,dif
LineaA,HPM,PMayo,1,LineaA:1076,PMayo,0.0,2071.475792243648,0.0,1.0,0.0,False,0.0
LineaA,HPM,PMayo,2,LineaA:1075,Peru,51.0,3084.266949889611,2071.4757922436484,1.0,2897.0,True,825.5242077563516
LineaA,HPM,PMayo,3,LineaA:1074,Piedras,20.0,1119.7453846163046,5104.7427421332595,1.0,5420.0,True,315.2572578667405
LineaA,HPM,PMayo,4,LineaA:1073,Lima,340.2969251284064,2291.5753480135027,6204.488126749564,1.0,6405.0,True,200.5118732504361
LineaA,HPM,PMayo,5,LineaA:1072,SnzPena,96.0,926.4349314615664,8155.76654963466,1.0,8310.0,True,154.2334503653401
LineaA,HPM,PMayo,6,LineaA:1071,Congreso,130.0,1276.0631163718572,8986.201481096226,1.0,9011.0,True,24.798518903773584
LineaA,HPM,PMayo,7,LineaA:1070,Pasco,169.0,517.868948060912,10132.264597468084,1.0,10371.0,True,238.7354025319164
LineaA,HPM,PMayo,8,LineaA:1069,Alberti,0.0,0.0,10481.133545528995,1.0,0.0,False,-10481.133545528995
LineaA,HPM,PMayo,9,LineaA:1068,Miserere,1534.0,1516.3883366218904,10481.133545528995,1.0,10431.0,True,-50.133545528995455
LineaA,HPM,PMayo,10,LineaA:1067,Loria,411.9376218098212,176.80877674747094,10463.521882150886,1.0,10776.0,True,312.4781178491139
LineaA,HPM,PMayo,11,LineaA:1066,CBarros,539.3549109409175,224.21775567421443,10228.393037088537,1.0,10562.0,True,333.6069629114627
LineaA,HPM,PMayo,12,LineaA:1065,RJaneiro,874.9290374801602,187.57956311755515,9913.255881821833,1.0,10250.0,True,336.7441181781669
LineaA,HPM,PMayo,13,LineaA:1064,Acoyte,1050.0,255.21262327437142,9225.906407459228,1.0,9565.0,True,339.0935925407721
LineaA,HPM,PMayo,14,LineaA:1063,PJunta,1559.323263892025,62.78749642906983,8431.1190307336,1.0,8531.0,True,99.88096926639992
LineaA,HPM,PMayo,15,LineaA:1062,Puan,749.0,37.218507560845836,6934.583263270644,1.0,7045.0,True,110.41673672935576
