periodo,origen,destino,viajes
diaria,LineaA:1059,LineaA:1060,118.0
diaria,LineaA:1059,LineaA:1061,271.0
diaria,LineaA:1059,LineaA:1062,203.0
diaria,LineaA:1059,LineaA:1063,417.0
diaria,LineaA:1059,LineaA:1064,573.0
diaria,LineaA:1059,LineaA:1065,543.0
diaria,LineaA:1059,LineaA:1066,670.0
diaria,LineaA:1059,LineaA:1067,456.0
diaria,LineaA:1059,LineaA:1068,991.0
diaria,LineaA:1059,LineaA:1069,925.0
diaria,LineaA:1059,LineaA:1070,70.0
diaria,LineaA:1059,LineaA:1071,1668.0
diaria,LineaA:1059,LineaA:1072,1065.0
diaria,LineaA:1059,LineaA:1073,972.0
diaria,LineaA:1059,LineaA:1074,937.0
diaria,LineaA:1059,LineaA:1075,1484.0
diaria,LineaA:1059,LineaA:1076,2604.0
diaria,LineaA:1059,LineaB:1077,43.0
diaria,LineaA:1059,LineaB:1078,14.0
diaria,LineaA:1059,LineaB:1079,2.0
diaria,LineaA:1059,LineaB:1080,7.0
diaria,LineaA:1059,LineaB:1081,31.0
diaria,LineaA:1059,LineaB:1082,25.0
diaria,LineaA:1059,LineaB:1084,43.0
diaria,LineaA:1059,LineaB:1083,36.0
diaria,LineaA:1059,LineaB:1085,82.0
diaria,LineaA:1059,LineaB:1086,170.0
diaria,LineaA:1059,LineaB:1087,108.0
diaria,LineaA:1059,LineaB:1088,90.0
diaria,LineaA:1059,LineaB:1089,121.0
diaria,LineaA:1059,LineaB:1090,127.0
diaria,LineaA:1059,LineaB:1091,197.0
diaria,LineaA:1059,LineaB:1092,199.0
diaria,LineaA:1059,LineaB:1093,131.0
diaria,LineaA:1059,LineaC:1094,2203.0
diaria,LineaA:1059,LineaC:1095,95.0
diaria,LineaA:1059,LineaC:1096,122.0
diaria,LineaA:1059,LineaC:1097,44.0
diaria,LineaA:1059,LineaC:1098,230.0
diaria,LineaA:1059,LineaC:1099,51.0
diaria,LineaA:1059,LineaC:1100,252.0
diaria,LineaA:1059,LineaC:1101,209.0
diaria,LineaA:1059,LineaC:1102,434.0
diaria,LineaA:1059,LineaD:1103,124.0
diaria,LineaA:1059,LineaD:1104,52.0
diaria,LineaA:1059,LineaD:1105,50.0
diaria,LineaA:1059,LineaD:1106,32.0
diaria,LineaA:1059,LineaD:1107,62.0
diaria,LineaA:1059,LineaD:1108,104.0
diaria,LineaA:1059,LineaD:1109,73.0
diaria,LineaA:1059,LineaD:1110,78.0
diaria,LineaA:1059,LineaD:1111,170.0
diaria,LineaA:1059,LineaD:1112,71.0
diaria,LineaA:1059,LineaD:1113,55.0
diaria,LineaA:1059,LineaD:1114,118.0
diaria,LineaA:1059,LineaD:1115,206.0
diaria,LineaA:1059,LineaD:1116,273.0
diaria,LineaA:1059,LineaD:1117,51.0
diaria,LineaA:1059,LineaD:1118,238.0
diaria,LineaA:1059,LineaE:1133,4.0
diaria,LineaA:1059,LineaE:1132,2.0
diaria,LineaA:1059,LineaE:1131,2.0
diaria,LineaA:1059,LineaE:1130,9.0
diaria,LineaA:1059,LineaE:1129,26.0
diaria,LineaA:1059,LineaE:1128,20.0
diaria,LineaA:1059,LineaE:1127,11.0
diaria,LineaA:1059,LineaE:1126,24.0
diaria,LineaA:1059,LineaE:1125,19.0
diaria,LineaA:1059,LineaE:1124,19.0
diaria,LineaA:1059,LineaE:1123,50.0
diaria,LineaA:1059,LineaE:1122,20.0
diaria,LineaA:1059,LineaE:1121,352.0
diaria,LineaA:1059,LineaE:1120,73.0
diaria,LineaA:1059,LineaE:1119,257.0
diaria,LineaA:1059,LineaH:1134,134.0
diaria,LineaA:1059,LineaH:1135,183.0
diaria,LineaA:1059,LineaH:1136,128.0
diaria,LineaA:1059,LineaH:1137,118.0
diaria,LineaA:1059,LineaH:1138,120.0
diaria,LineaA:1059,LineaH:1139,111.0
diaria,LineaA:1059,LineaH:1140,398.0
diaria,LineaA:1059,LineaH:1141,199.0
diaria,LineaA:1059,LineaH:1160,297.0
diaria,LineaA:1059,LineaH:1161,455.0
diaria,LineaA:1059,LineaH:1162,461.0
diaria,LineaA:1059,LineaH:1163,181.0
diaria,LineaA:1059,LineaE:1166,136.0
diaria,LineaA:1059,LineaE:1165,273.0
diaria,LineaA:1059,LineaE:1164,99.0
diaria,LineaA:1060,LineaA:1059,131.0
diaria,LineaA:1060,LineaA:1061,119.0
diaria,LineaA:1060,LineaA:1062,160.0
diaria,LineaA:1060,LineaA:1063,390.0
diaria,LineaA:1060,LineaA:1064,464.0
diaria,LineaA:1060,LineaA:1065,379.0
diaria,LineaA:1060,LineaA:1066,374.0
diaria,LineaA:1060,LineaA:1067,246.0
diaria,LineaA:1060,LineaA:1068,216.0
diaria,LineaA:1060,LineaA:1069,376.0
diaria,LineaA:1060,LineaA:1070,23.0
diaria,LineaA:1060,LineaA:1071,679.0
diaria,LineaA:1060,LineaA:1072,403.0
diaria,LineaA:1060,LineaA:1073,417.0
diaria,LineaA:1060,LineaA:1074,388.0
diaria,LineaA:1060,LineaA:1075,652.0
diaria,LineaA:1060,LineaA:1076,1109.0
diaria,LineaA:1060,LineaB:1077,29.0
diaria,LineaA:1060,LineaB:1078,9.0
diaria,LineaA:1060,LineaB:1079,1.0
diaria,LineaA:1060,LineaB:1080,5.0
diaria,LineaA:1060,LineaB:1081,13.0
diaria,LineaA:1060,LineaB:1082,29.0
diaria,LineaA:1060,LineaB:1084,10.0
diaria,LineaA:1060,LineaB:1083,26.0
diaria,LineaA:1060,LineaB:1085,44.0
diaria,LineaA:1060,LineaB:1086,57.0
diaria,LineaA:1060,LineaB:1087,29.0
diaria,LineaA:1060,LineaB:1088,15.0
diaria,LineaA:1060,LineaB:1089,40.0
diaria,LineaA:1060,LineaB:1090,41.0
diaria,LineaA:1060,LineaB:1091,85.0
diaria,LineaA:1060,LineaB:1092,69.0
diaria,LineaA:1060,LineaB:1093,55.0
diaria,LineaA:1060,LineaC:1094,706.0
diaria,LineaA:1060,LineaC:1095,58.0
diaria,LineaA:1060,LineaC:1096,57.0
diaria,LineaA:1060,LineaC:1097,32.0
diaria,LineaA:1060,LineaC:1098,100.0
diaria,LineaA:1060,LineaC:1099,5.0
diaria,LineaA:1060,LineaC:1100,91.0
diaria,LineaA:1060,LineaC:1101,97.0
diaria,LineaA:1060,LineaC:1102,161.0
diaria,LineaA:1060,LineaD:1103,78.0
diaria,LineaA:1060,LineaD:1104,34.0
diaria,LineaA:1060,LineaD:1105,21.0
diaria,LineaA:1060,LineaD:1106,48.0
diaria,LineaA:1060,LineaD:1107,29.0
diaria,LineaA:1060,LineaD:1108,60.0
diaria,LineaA:1060,LineaD:1109,42.0
diaria,LineaA:1060,LineaD:1110,30.0
diaria,LineaA:1060,LineaD:1111,60.0
