linea,periodo,sentido_hacia,orden_llegada,nodo,estacion_sbase,suben,bajan,carga_saliente
LineaA,HPM,PMayo,1,LineaA:1076,PMayo,0.0,2071.475792243648,0.0
LineaA,HPM,PMayo,2,LineaA:1075,Peru,51.0,3084.266949889611,2071.4757922436484
LineaA,HPM,PMayo,3,LineaA:1074,Piedras,20.0,1119.7453846163046,5104.7427421332595
LineaA,HPM,PMayo,4,LineaA:1073,Lima,340.2969251284064,2291.5753480135027,6204.488126749564
LineaA,HPM,PMayo,5,LineaA:1072,SnzPena,96.0,926.4349314615664,8155.76654963466
LineaA,HPM,PMayo,6,LineaA:1071,Congreso,130.0,1276.0631163718572,8986.201481096226
LineaA,HPM,PMayo,7,LineaA:1070,Pasco,169.0,517.868948060912,10132.264597468084
LineaA,HPM,PMayo,8,LineaA:1069,Alberti,0.0,0.0,10481.133545528995
LineaA,HPM,PMayo,9,LineaA:1068,Miserere,1534.0,1516.3883366218904,10481.133545528995
LineaA,HPM,PMayo,10,LineaA:1067,Loria,411.9376218098212,176.80877674747094,10463.521882150886
LineaA,HPM,PMayo,11,LineaA:1066,CBarros,539.3549109409175,224.21775567421443,10228.393037088537
LineaA,HPM,PMayo,12,LineaA:1065,RJaneiro,874.9290374801602,187.57956311755515,9913.255881821833
LineaA,HPM,PMayo,13,LineaA:1064,Acoyte,1050.0,255.21262327437142,9225.906407459228
LineaA,HPM,PMayo,14,LineaA:1063,PJunta,1559.323263892025,62.78749642906983,8431.1190307336
LineaA,HPM,PMayo,15,LineaA:1062,Puan,749.0,37.218507560845836,6934.583263270644
LineaA,HPM,PMayo,16,LineaA:1061,Carabobo,1229.0,35.091735700226074,6222.80177083149
LineaA,HPM,PMayo,17,LineaA:1060,Flores,1488.690623260766,2.797116729050002,5028.893506531716
LineaA,HPM,PMayo,18,LineaA:1059,SanPedrito,3543.0,0.0,3543.0
LineaA,HPM,SanPedrito,1,LineaA:1076,PMayo,605.0,0.0,605.0
LineaA,HPM,SanPedrito,2,LineaA:1075,Peru,372.0,103.82340825848014,873.1765917415198
LineaA,HPM,SanPedrito,3,LineaA:1074,Piedras,104.0,31.820562500477713,945.356029241042
LineaA,HPM,SanPedrito,4,LineaA:1073,Lima,1918.653336951229,52.81365261936791,2811.195713572903
LineaA,HPM,SanPedrito,5,LineaA:1072,SnzPena,134.0,212.08087812224448,2733.1148354506586
LineaA,HPM,SanPedrito,6,LineaA:1071,Congreso,297.0,230.9263678606097,2799.1884675900487
LineaA,HPM,SanPedrito,7,LineaA:1070,Pasco,0.0,0.0,2799.1884675900487
LineaA,HPM,SanPedrito,8,LineaA:1069,Alberti,221.9499659568387,429.17355382163765,2591.96487972525
LineaA,HPM,SanPedrito,9,LineaA:1068,Miserere,738.0,420.9405839348909,2909.024295790359
LineaA,HPM,SanPedrito,10,LineaA:1067,Loria,105.9958732147105,229.41711934399413,2785.603049661075
LineaA,HPM,SanPedrito,11,LineaA:1066,CBarros,105.746393307412,215.46777955525175,2675.8816634132354
LineaA,HPM,SanPedrito,12,LineaA:1065,RJaneiro,89.42145828866646,254.49354977670274,2510.809571925199
LineaA,HPM,SanPedrito,13,LineaA:1064,Acoyte,93.0,404.5757232203596,2199.2338487048396
LineaA,HPM,SanPedrito,14,LineaA:1063,PJunta,52.14375394739494,277.2510189962957,1974.126583655939
LineaA,HPM,SanPedrito,15,LineaA:1062,Puan,30.0,196.37832857437675,1807.748255081562
LineaA,HPM,SanPedrito,16,LineaA:1061,Carabobo,148.0,277.29347321844864,1678.4547818631136
LineaA,HPM,SanPedrito,17,LineaA:1060,Flores,6.696220095066278,372.8787737910839,1312.272228167096
LineaA,HPM,SanPedrito,18,LineaA:1059,SanPedrito,0.0,1312.2722281670963,0.0
LineaA,HPT,PMayo,1,LineaA:1076,PMayo,0.0,581.1563933848523,-1.3642420526593924e-12
LineaA,HPT,PMayo,2,LineaA:1075,Peru,267.0,719.6485794931535,581.156393384851
LineaA,HPT,PMayo,3,LineaA:1074,Piedras,56.0,213.09067757444586,1033.8049728780045
LineaA,HPT,PMayo,4,LineaA:1073,Lima,226.522916927195,2499.3762732274126,1190.8956504524504
LineaA,HPT,PMayo,5,LineaA:1072,SnzPena,194.0,355.66030426204617,3463.749006752668
LineaA,HPT,PMayo,6,LineaA:1071,Congreso,200.0,655.2253454829217,3625.409311014714
LineaA,HPT,PMayo,7,LineaA:1070,Pasco,337.0,438.716100888565,4080.6346564976357
LineaA,HPT,PMayo,8,LineaA:1069,Alberti,0.0,0.0,4182.350757386201
LineaA,HPT,PMayo,9,LineaA:1068,Miserere,924.0,1521.2623238603487,4182.350757386201
LineaA,HPT,PMayo,10,LineaA:1067,Loria,326.2482168006993,169.22039428177905,4779.61308124655
LineaA,HPT,PMayo,11,LineaA:1066,CBarros,358.4473195808103,246.93928306125076,4622.5852587276295
LineaA,HPT,PMayo,12,LineaA:1065,RJaneiro,425.9790351977487,217.44098100163015,4511.0772222080695
LineaA,HPT,PMayo,13,LineaA:1064,Acoyte,609.0,301.9734200921292,4302.539168011951
