linea,gtfs_stop_id,gtfs_nombre,stop_lat,stop_lon,n_andenes,nombres_molinetes,n_molinetes,n_registros,pax_total
LineaA,1064,Acoyte,-34.618036012360,-58.435862213379,2.0,Acoyte,11,207586,3104096
LineaA,1069,Alberti,-34.609832012885,-58.400719910883,1.0,Alberti,4,77990,1202838
LineaA,1061,Carabobo,-34.626422392738,-58.456044495010,2.0,Carabobo,9,196198,2362676
LineaA,1066,Castro Barros,-34.611763606902,-58.421728313005,2.0,Castro Barros,7,136785,2216467
LineaA,1071,Congreso,-34.609241487037,-58.392670601487,2.0,Congreso,9,129387,1993742
LineaA,1073,Lima,-34.609105721538,-58.382521122784,2.0,Lima,6,89210,937875
LineaA,1067,Loria,-34.610811060554,-58.415152877453,2.0,Loria,8,105358,1291672
LineaA,1070,Pasco,-34.609664444429,-58.398340314029,1.0,Pasco,4,69776,596447
LineaA,1075,Peru,-34.608559343180,-58.374563008418,2.0,Peru,11,164721,1924011
LineaA,1074,Piedras,-34.608837932068,-58.378502407734,2.0,Piedras,6,99542,1427533
LineaA,1068,Plaza Miserere,-34.609688,-58.406813889700,2.0,Plaza Miserere,14,271806,2713095
LineaA,1076,Plaza de Mayo,-34.608695109514,-58.371493220293,2.0,Plaza de Mayo,9,168079,3398439
LineaA,1063,Primera Junta,-34.620460192436,-58.441400975016,2.0,Primera Junta,9,182068,2775442
LineaA,1062,Puan,-34.623571847053,-58.448787778687,2.0,Puan,5,103106,1521603
LineaA,1065,Rio de Janeiro,-34.615111439413,-58.429285879212,2.0,Rio de Janeiro,6,104747,1737717
LineaA,1072,Saenz Peña,-34.609416989391,-58.386668153102,2.0,Saenz Peña ,6,125103,1953644
LineaA,1060,San Jose de Flores,-34.629054501979,-58.463536343831,2.0,Flores,8,169135,2684674
LineaA,1059,San Pedrito,-34.630922591443,-58.470433205504,2.0,San Pedrito,12,256859,6260126
LineaB,1089,Callao,-34.604457527748,-58.392845615810,2.0,Callao.B,9,154584,3537275
LineaB,1086,Carlos Gardel,-34.604103190729,-58.411704897892,2.0,Carlos Gardel,7,114040,2295242
LineaB,1091,Carlos Pellegrini,-34.603701386103,-58.381378501576,2.0,Carlos Pellegrini,10,204725,3902937
LineaB,1079,De Los Incas - Parque Chas,-34.581941400922,-58.472949117288,2.0,Los Incas,8,168125,1831732
LineaB,1082,Dorrego,-34.591692697391,-58.447618335534,2.0,Dorrego,9,203763,2528992
LineaB,1078,Echeverria,-34.577998380396,-58.480763733193,2.0,Echeverria,7,140059,1345063
LineaB,1081,Federico Lacroze,-34.587565207891,-58.454097211372,2.0,Federico Lacroze,21,436041,5132160
LineaB,1092,Florida,-34.603301786393,-58.374534845324,2.0,Florida,9,161990,2508797
LineaB,1077,Juan Manuel de Rosas,-34.574011003989,-58.486718237493,2.0,Rosas,13,271589,5791079
LineaB,1093,Leandro N. Alem,-34.602967313448,-58.369956314500,2.0,Leandro N. Alem,10,217632,3541632
LineaB,1084,Malabia,-34.599048472974,-58.439674973441,2.0,Malabia,8,167833,3046991
LineaB,1085,Medrano,-34.603139517524,-58.421303182836,2.0,Medrano,7,163212,3178225
LineaB,1088,Pasteur,-34.604623105662,-58.399357348627,2.0,Pasteur,7,140928,2378774
LineaB,1087,Pueyrredon,-34.604613170616,-58.405234068657,2.0,Pueyrredon | Pueyrredon.B,17,139649,1681932
LineaB,1080,Tronador - Villa Ortuzar,-34.584319159038,-58.465676307586,2.0,Tronador,4,75691,1141819
LineaB,1090,Uruguay,-34.604046341872,-58.387106358997,2.0,Uruguay,10,121370,1705784
LineaB,1083,angel Gallardo,-34.602156515827,-58.431022167144,2.0,Angel Gallardo,7,150921,2876383
LineaC,1098,Avenida de Mayo,-34.608990925758,-58.380681462661,2.0,Avenida de Mayo,7,122758,787109
LineaC,1094,Constitucion,-34.627276542920,-58.381431475198,2.0,Constitucion,31,594052,16491664
