linea,cabecera,dias_ajuste,despachos_dia_ajuste,intervalo_pico_s_ajuste,dias_verificacion,despachos_dia_verificacion,intervalo_pico_s_verificacion
A,A,113,289.67,191.84,56,294.96,189.03
A,D,113,294.60,198.64,56,299.80,197.52
B,A,70,238.91,245.32,32,248.34,235.82
B,D,70,243.46,253.04,32,253.03,243.04
C,A,100,284.00,194.11,57,281.72,196.67
C,D,100,286.60,195.05,57,284.12,197.11
D,A,116,258.03,216.97,58,264.86,212.29
D,D,116,263.39,218.35,58,269.33,214.29
E,A,118,180.99,315.88,56,183.82,312.23
E,D,118,184.64,324.20,56,187.66,318.92
H,A,108,278.83,206.27,56,279.93,206.13
H,D,108,282.74,206.72,56,283.68,206.14
